method,estimation_stage,J,h2,true_eta0,true_lambda,panel_seed,raw_eta0,selected_lambda,selected_L,eta0_finite,eta0_boundary,objective,converged,causal_correlation,achieved_h2,expected_z_1,expected_z_2,fit_seconds
AIW-N,actual_selection,100,2e-04,20,0.001,32,158.827778377825,0.01,5,TRUE,interior,573.06328425105,TRUE,-0.000269564294454751,2e-04,5.81328781841218,-2.49268814569676,0.321
AIW-N,oracle_lambda_oracle_L,100,2e-04,20,0.001,32,9.75625479880539,0.001,2,TRUE,interior,548.610032149693,TRUE,-0.000269564294454751,2e-04,5.81328781841218,-2.49268814569676,0.321
AIW-N,selected_lambda_oracle_L,100,2e-04,20,0.001,32,195.972629699687,0.01,2,TRUE,interior,572.90500677308,TRUE,-0.000269564294454751,2e-04,5.81328781841218,-2.49268814569676,0.321
collapsed-R,actual_selection,100,2e-04,20,0.001,32,556.877353647176,0.01,1,TRUE,interior,572.09034916213,TRUE,-0.000269564294454751,2e-04,5.81328781841218,-2.49268814569676,0.304999999999999
collapsed-R,oracle_lambda,100,2e-04,20,0.001,32,6.04096101095905,0.001,0,TRUE,interior,545.793324226901,TRUE,-0.000269564294454751,2e-04,5.81328781841218,-2.49268814569676,0.304999999999999
AIW-N,actual_selection,100,0.001,20,0.001,32,30.8527929723923,0.01,1,TRUE,interior,491.116151047003,TRUE,-0.000269564294454751,0.001,12.9989067347411,-5.57382014048585,0.276
AIW-N,oracle_lambda_oracle_L,100,0.001,20,0.001,32,9.55912308927815,0.001,2,TRUE,interior,461.42481775701,TRUE,-0.000269564294454751,0.001,12.9989067347411,-5.57382014048585,0.276
AIW-N,selected_lambda_oracle_L,100,0.001,20,0.001,32,35.5617878919262,0.01,2,TRUE,interior,489.306149108062,TRUE,-0.000269564294454751,0.001,12.9989067347411,-5.57382014048585,0.276
collapsed-R,actual_selection,100,0.001,20,0.001,32,30.0588533299931,0.01,1,TRUE,interior,488.962623011169,TRUE,-0.000269564294454751,0.001,12.9989067347411,-5.57382014048585,0.841000000000001
collapsed-R,oracle_lambda,100,0.001,20,0.001,32,4.02107641777303,0.001,0,TRUE,interior,460.174242641582,TRUE,-0.000269564294454751,0.001,12.9989067347411,-5.57382014048585,0.841000000000001
AIW-N,actual_selection,100,0.005,20,0.001,32,26.5380462530997,0.01,1,TRUE,interior,406.615974037698,TRUE,-0.000269564294454751,0.005,29.0664390920609,-12.4634407284838,0.248
AIW-N,oracle_lambda_oracle_L,100,0.005,20,0.001,32,9.52991128798052,0.001,2,TRUE,interior,375.077347298425,TRUE,-0.000269564294454751,0.005,29.0664390920609,-12.4634407284838,0.248
AIW-N,selected_lambda_oracle_L,100,0.005,20,0.001,32,31.4335356335314,0.01,2,TRUE,interior,402.881935914191,TRUE,-0.000269564294454751,0.005,29.0664390920609,-12.4634407284838,0.248
collapsed-R,actual_selection,100,0.005,20,0.001,32,23.1225555579365,0.01,1,TRUE,interior,402.605569295184,TRUE,-0.000269564294454751,0.005,29.0664390920609,-12.4634407284838,1.544
collapsed-R,oracle_lambda,100,0.005,20,0.001,32,1.03616981130821,0.001,0,TRUE,interior,374.335100930927,TRUE,-0.000269564294454751,0.005,29.0664390920609,-12.4634407284838,1.544
AIW-N,actual_selection,100,2e-04,50,0.001,32,79.8935903452826,0.002,5,TRUE,interior,577.968808812145,TRUE,-6.45376883342411e-05,2e-04,5.81320854045701,-2.49168134237091,0.263999999999999
AIW-N,oracle_lambda_oracle_L,100,2e-04,50,0.001,32,26.5259401504113,0.001,2,TRUE,interior,575.203827601297,TRUE,-6.45376883342411e-05,2e-04,5.81320854045701,-2.49168134237091,0.263999999999999
AIW-N,selected_lambda_oracle_L,100,2e-04,50,0.001,32,37.6873825651395,0.002,2,TRUE,interior,575.713305511452,TRUE,-6.45376883342411e-05,2e-04,5.81320854045701,-2.49168134237091,0.263999999999999
collapsed-R,actual_selection,100,2e-04,50,0.001,32,26.3783182608259,0.002,0,TRUE,interior,572.66033397543,TRUE,-6.45376883342411e-05,2e-04,5.81320854045701,-2.49168134237091,0.196000000000002
collapsed-R,oracle_lambda,100,2e-04,50,0.001,32,16.7238547269847,0.001,0,TRUE,interior,572.189882297176,TRUE,-6.45376883342411e-05,2e-04,5.81320854045701,-2.49168134237091,0.196000000000002
AIW-N,actual_selection,100,0.001,50,0.001,32,25.5286349674048,0.001,1,TRUE,interior,515.787568443167,TRUE,-6.45376883342411e-05,0.001,12.9987294638442,-5.57156885980928,0.398
AIW-N,oracle_lambda_oracle_L,100,0.001,50,0.001,32,31.7547806956623,0.001,2,TRUE,interior,513.732848900886,TRUE,-6.45376883342411e-05,0.001,12.9987294638442,-5.57156885980928,0.398
AIW-N,selected_lambda_oracle_L,100,0.001,50,0.001,32,31.7547806956623,0.001,2,TRUE,interior,513.732848900886,TRUE,-6.45376883342411e-05,0.001,12.9987294638442,-5.57156885980928,0.398
collapsed-R,actual_selection,100,0.001,50,0.001,32,24.4528330047902,0.001,1,TRUE,interior,513.502109936747,TRUE,-6.45376883342411e-05,0.001,12.9987294638442,-5.57156885980928,0.758999999999999
collapsed-R,oracle_lambda,100,0.001,50,0.001,32,24.4528330047902,0.001,1,TRUE,interior,513.502109936747,TRUE,-6.45376883342411e-05,0.001,12.9987294638442,-5.57156885980928,0.758999999999999
AIW-N,actual_selection,100,0.005,50,0.001,32,28.2702615822433,0.001,1,TRUE,interior,440.131680219348,TRUE,-6.45376883342411e-05,0.005,29.066042702285,-12.4584067118545,0.343
AIW-N,oracle_lambda_oracle_L,100,0.005,50,0.001,32,33.0108850496115,0.001,2,TRUE,interior,436.897165178155,TRUE,-6.45376883342411e-05,0.005,29.066042702285,-12.4584067118545,0.343
