method,estimation_stage,J,h2,true_eta0,true_lambda,panel_seed,raw_eta0,selected_lambda,selected_L,eta0_finite,eta0_boundary,objective,converged,causal_correlation,achieved_h2,expected_z_1,expected_z_2,fit_seconds
AIW-N,actual_selection,2000,2e-04,20,0.001,32,7.72186374071021,0.006,1,TRUE,interior,11435.264129025,TRUE,-1.96015264285234e-05,2e-04,5.81319116762865,-2.4914606607903,10.042
AIW-N,oracle_lambda_oracle_L,2000,2e-04,20,0.001,32,4.57009066371491,0.001,2,TRUE,interior,11251.5632259483,TRUE,-1.96015264285234e-05,2e-04,5.81319116762865,-2.4914606607903,10.042
AIW-N,selected_lambda_oracle_L,2000,2e-04,20,0.001,32,16.3975144355079,0.006,2,TRUE,interior,11430.6077688543,TRUE,-1.96015264285234e-05,2e-04,5.81319116762865,-2.4914606607903,10.042
collapsed-R,actual_selection,2000,2e-04,20,0.001,32,6.4795289515795,0.006,0,TRUE,interior,11431.6641151395,TRUE,-1.96015264285234e-05,2e-04,5.81319116762865,-2.4914606607903,1.226
collapsed-R,oracle_lambda,2000,2e-04,20,0.001,32,1.13617043797471,0.001,0,TRUE,interior,11253.7718531496,TRUE,-1.96015264285234e-05,2e-04,5.81319116762865,-2.4914606607903,1.226
AIW-N,actual_selection,2000,0.001,20,0.001,32,8.29400830828855,0.006,1,TRUE,interior,9981.57275605443,TRUE,-1.96015264285234e-05,0.001,12.998690617019,-5.57107540079366,6.384
AIW-N,oracle_lambda_oracle_L,2000,0.001,20,0.001,32,4.36333566291663,0.001,2,TRUE,interior,9778.78703521816,TRUE,-1.96015264285234e-05,0.001,12.998690617019,-5.57107540079366,6.384
AIW-N,selected_lambda_oracle_L,2000,0.001,20,0.001,32,13.8305076568653,0.006,2,TRUE,interior,9975.30615605128,TRUE,-1.96015264285234e-05,0.001,12.998690617019,-5.57107540079366,6.384
collapsed-R,actual_selection,2000,0.001,20,0.001,32,2.74959948743302,0.006,0,TRUE,interior,9979.0622761172,TRUE,-1.96015264285234e-05,0.001,12.998690617019,-5.57107540079366,1.09599999999999
collapsed-R,oracle_lambda,2000,0.001,20,0.001,32,1,0.001,0,TRUE,interior,9784.26921353049,TRUE,-1.96015264285234e-05,0.001,12.998690617019,-5.57107540079366,1.09599999999999
