method,estimation_stage,J,h2,true_eta0,true_lambda,panel_seed,raw_eta0,selected_lambda,selected_L,eta0_finite,eta0_boundary,objective,converged,causal_correlation,achieved_h2,expected_z_1,expected_z_2,fit_seconds
AIW-N,actual_selection,2000,2e-04,20,0.001,31,22.1916066484266,0.008,1,TRUE,interior,11786.0522948051,TRUE,-2.61696932492433e-05,2e-04,5.81319370689548,-2.49149291747758,6.616
AIW-N,oracle_lambda_oracle_L,2000,2e-04,20,0.001,31,6.81154413269958,0.001,2,TRUE,interior,11575.3942473446,TRUE,-2.61696932492433e-05,2e-04,5.81319370689548,-2.49149291747758,6.616
AIW-N,selected_lambda_oracle_L,2000,2e-04,20,0.001,31,35.9691266105106,0.008,2,TRUE,interior,11785.1445410382,TRUE,-2.61696932492433e-05,2e-04,5.81319370689548,-2.49149291747758,6.616
collapsed-R,actual_selection,2000,2e-04,20,0.001,31,23.9240100989674,0.008,0,TRUE,interior,11782.5700379612,TRUE,-2.61696932492433e-05,2e-04,5.81319370689548,-2.49149291747758,1.017
collapsed-R,oracle_lambda,2000,2e-04,20,0.001,31,1.19447813823227,0.001,0,TRUE,interior,11576.1219727826,TRUE,-2.61696932492433e-05,2e-04,5.81319370689548,-2.49149291747758,1.017
AIW-N,actual_selection,2000,0.001,20,0.001,31,24.6780758490071,0.008,1,TRUE,interior,10656.1359059652,TRUE,-2.61696932492433e-05,0.001,12.9986962949923,-5.57114752893913,7.016
AIW-N,oracle_lambda_oracle_L,2000,0.001,20,0.001,31,8.14302605093223,0.001,2,TRUE,interior,10398.8818361177,TRUE,-2.61696932492433e-05,0.001,12.9986962949923,-5.57114752893913,7.016
AIW-N,selected_lambda_oracle_L,2000,0.001,20,0.001,31,33.8876605866062,0.008,2,TRUE,interior,10651.2515552996,TRUE,-2.61696932492433e-05,0.001,12.9986962949923,-5.57114752893913,7.016
collapsed-R,actual_selection,2000,0.001,20,0.001,31,17.2111632790772,0.008,1,TRUE,interior,10649.6251120096,TRUE,-2.61696932492433e-05,0.001,12.9986962949923,-5.57114752893913,1.089
collapsed-R,oracle_lambda,2000,0.001,20,0.001,31,1,0.001,0,TRUE,interior,10402.9961999794,TRUE,-2.61696932492433e-05,0.001,12.9986962949923,-5.57114752893913,1.089
AIW-N,actual_selection,2000,0.005,20,0.001,31,29.7261376047449,0.01,1,TRUE,interior,9206.13063207965,TRUE,-2.61696932492433e-05,0.005,29.0659685344774,-12.4574645873879,6.19
AIW-N,oracle_lambda_oracle_L,2000,0.005,20,0.001,31,9.00618191000572,0.001,2,TRUE,interior,8930.272229798,TRUE,-2.61696932492433e-05,0.005,29.0659685344774,-12.4574645873879,6.19
AIW-N,selected_lambda_oracle_L,2000,0.005,20,0.001,31,40.4839127323265,0.01,2,TRUE,interior,9201.95627427205,TRUE,-2.61696932492433e-05,0.005,29.0659685344774,-12.4574645873879,6.19
collapsed-R,actual_selection,2000,0.005,20,0.001,31,3.29778527164571,0.008,0,TRUE,interior,9194.96607250559,TRUE,-2.61696932492433e-05,0.005,29.0659685344774,-12.4574645873879,1.26099999999999
collapsed-R,oracle_lambda,2000,0.005,20,0.001,31,1,0.001,0,TRUE,interior,8934.27766628875,TRUE,-2.61696932492433e-05,0.005,29.0659685344774,-12.4574645873879,1.26099999999999
AIW-N,actual_selection,2000,2e-04,50,0.001,31,145.831084913899,0.004,5,TRUE,interior,12621.4188556911,TRUE,-9.91924901935e-06,2e-04,5.81318742447818,-2.49141311025272,7.022
AIW-N,oracle_lambda_oracle_L,2000,2e-04,50,0.001,31,21.8581453719616,0.001,2,TRUE,interior,12503.9722483618,TRUE,-9.91924901935e-06,2e-04,5.81318742447818,-2.49141311025272,7.022
AIW-N,selected_lambda_oracle_L,2000,2e-04,50,0.001,31,89.2701547247411,0.004,2,TRUE,interior,12614.1150519689,TRUE,-9.91924901935e-06,2e-04,5.81318742447818,-2.49141311025272,7.022
