method,estimation_stage,J,h2,true_eta0,true_lambda,panel_seed,raw_eta0,selected_lambda,selected_L,eta0_finite,eta0_boundary,objective,converged,causal_correlation,achieved_h2,expected_z_1,expected_z_2,fit_seconds
AIW-N,actual_selection,500,2e-04,20,0.001,31,5.5856435331375,0.002,1,TRUE,interior,2719.78691549363,TRUE,-1.32355020695245e-05,2e-04,5.81318870653036,-2.49142939670463,1.635
AIW-N,oracle_lambda_oracle_L,500,2e-04,20,0.001,31,6.31913020199831,0.001,2,TRUE,interior,2710.33603354498,TRUE,-1.32355020695245e-05,2e-04,5.81318870653036,-2.49142939670463,1.635
AIW-N,selected_lambda_oracle_L,500,2e-04,20,0.001,31,8.55982267915541,0.002,2,TRUE,interior,2717.3547625262,TRUE,-1.32355020695245e-05,2e-04,5.81318870653036,-2.49142939670463,1.635
collapsed-R,actual_selection,500,2e-04,20,0.001,31,2.21304830688946,0.002,0,TRUE,interior,2717.37841366813,TRUE,-1.32355020695245e-05,2e-04,5.81318870653036,-2.49142939670463,0.403
collapsed-R,oracle_lambda,500,2e-04,20,0.001,31,1.47110996143775,0.001,0,TRUE,interior,2710.54492296396,TRUE,-1.32355020695245e-05,2e-04,5.81318870653036,-2.49142939670463,0.403
AIW-N,actual_selection,500,0.001,20,0.001,31,5.68172305253878,0.002,1,TRUE,interior,2365.5051465705,TRUE,-1.32355020695245e-05,0.001,12.998685113836,-5.57100549217283,1.333
AIW-N,oracle_lambda_oracle_L,500,0.001,20,0.001,31,6.09009945480676,0.001,2,TRUE,interior,2357.00853120092,TRUE,-1.32355020695245e-05,0.001,12.998685113836,-5.57100549217283,1.333
AIW-N,selected_lambda_oracle_L,500,0.001,20,0.001,31,7.93405344560119,0.002,2,TRUE,interior,2360.88352001637,TRUE,-1.32355020695245e-05,0.001,12.998685113836,-5.57100549217283,1.333
collapsed-R,actual_selection,500,0.001,20,0.001,31,1.39134956299769,0.002,0,TRUE,interior,2363.24854398812,TRUE,-1.32355020695245e-05,0.001,12.998685113836,-5.57100549217283,0.326000000000001
collapsed-R,oracle_lambda,500,0.001,20,0.001,31,1.09917414059063,0.001,0,TRUE,interior,2359.60182918795,TRUE,-1.32355020695245e-05,0.001,12.998685113836,-5.57100549217283,0.326000000000001
AIW-N,actual_selection,500,0.005,20,0.001,31,5.68565864665852,0.002,1,TRUE,interior,1978.24828644742,TRUE,-1.32355020695245e-05,0.005,29.0659435326518,-12.4571469835231,1.034
AIW-N,oracle_lambda_oracle_L,500,0.005,20,0.001,31,6.06997780321168,0.001,2,TRUE,interior,1970.42820239839,TRUE,-1.32355020695245e-05,0.005,29.0659435326518,-12.4571469835231,1.034
AIW-N,selected_lambda_oracle_L,500,0.005,20,0.001,31,7.80807909199395,0.002,2,TRUE,interior,1972.56084943713,TRUE,-1.32355020695245e-05,0.005,29.0659435326518,-12.4571469835231,1.034
collapsed-R,actual_selection,500,0.005,20,0.001,31,1.01120112037549,0.002,0,TRUE,interior,1974.70020759749,TRUE,-1.32355020695245e-05,0.005,29.0659435326518,-12.4571469835231,0.309000000000003
collapsed-R,oracle_lambda,500,0.005,20,0.001,31,1,0.001,0,TRUE,interior,1972.79472101131,TRUE,-1.32355020695245e-05,0.005,29.0659435326518,-12.4571469835231,0.309000000000003
AIW-N,actual_selection,500,2e-04,50,0.001,31,15.6818652908417,0.002,1,TRUE,interior,2966.62394464481,TRUE,-6.64002148845967e-06,2e-04,5.81318615674515,-2.49139700560193,1.125
AIW-N,oracle_lambda_oracle_L,500,2e-04,50,0.001,31,19.283469420544,0.001,2,TRUE,interior,2959.77311516345,TRUE,-6.64002148845967e-06,2e-04,5.81318615674515,-2.49139700560193,1.125
AIW-N,selected_lambda_oracle_L,500,2e-04,50,0.001,31,28.0562549578483,0.002,2,TRUE,interior,2964.76531656763,TRUE,-6.64002148845967e-06,2e-04,5.81318615674515,-2.49139700560193,1.125
collapsed-R,actual_selection,500,2e-04,50,0.001,31,12.6517666112555,0.002,0,TRUE,interior,2964.07521877686,TRUE,-6.64002148845967e-06,2e-04,5.81318615674515,-2.49139700560193,0.289000000000002
collapsed-R,oracle_lambda,500,2e-04,50,0.001,31,5.97167030348902,0.001,0,TRUE,interior,2959.97503847916,TRUE,-6.64002148845967e-06,2e-04,5.81318615674515,-2.49139700560193,0.289000000000002
