method,estimation_stage,J,h2,true_eta0,true_lambda,panel_seed,raw_eta0,selected_lambda,selected_L,eta0_finite,eta0_boundary,objective,converged,causal_correlation,achieved_h2,expected_z_1,expected_z_2,fit_seconds
AIW-N,actual_selection,250,2e-04,20,0.001,32,52.8182726679814,0.006,5,TRUE,interior,1428.29358726426,TRUE,-3.4415269482344e-06,2e-04,5.81318492022809,-2.49138129740637,0.613
AIW-N,oracle_lambda_oracle_L,250,2e-04,20,0.001,32,14.9438160725708,0.001,2,TRUE,interior,1417.56143877017,TRUE,-3.4415269482344e-06,2e-04,5.81318492022809,-2.49138129740637,0.613
AIW-N,selected_lambda_oracle_L,250,2e-04,20,0.001,32,40.2972893685447,0.006,2,TRUE,interior,1426.67682921157,TRUE,-3.4415269482344e-06,2e-04,5.81318492022809,-2.49138129740637,0.613
collapsed-R,actual_selection,250,2e-04,20,0.001,32,27.6593021398953,0.006,0,TRUE,interior,1423.89711778933,TRUE,-3.4415269482344e-06,2e-04,5.81318492022809,-2.49138129740637,0.346
collapsed-R,oracle_lambda,250,2e-04,20,0.001,32,6.40385998245593,0.001,0,TRUE,interior,1415.52930328181,TRUE,-3.4415269482344e-06,2e-04,5.81318492022809,-2.49138129740637,0.346
AIW-N,actual_selection,250,0.001,20,0.001,32,18.3347190472583,0.002,1,TRUE,interior,1283.12111081959,TRUE,-3.4415269482344e-06,0.001,12.9986766474067,-5.57089793887225,0.583
AIW-N,oracle_lambda_oracle_L,250,0.001,20,0.001,32,18.1758222983898,0.001,2,TRUE,interior,1275.13530298048,TRUE,-3.4415269482344e-06,0.001,12.9986766474067,-5.57089793887225,0.583
AIW-N,selected_lambda_oracle_L,250,0.001,20,0.001,32,29.7231949966151,0.004,2,TRUE,interior,1279.0763538497,TRUE,-3.4415269482344e-06,0.001,12.9986766474067,-5.57089793887225,0.583
collapsed-R,actual_selection,250,0.001,20,0.001,32,20.0016119480598,0.004,1,TRUE,interior,1279.82164764072,TRUE,-3.4415269482344e-06,0.001,12.9986766474067,-5.57089793887225,0.589
collapsed-R,oracle_lambda,250,0.001,20,0.001,32,8.21720572043495,0.001,0,TRUE,interior,1275.56783229665,TRUE,-3.4415269482344e-06,0.001,12.9986766474067,-5.57089793887225,0.589
AIW-N,actual_selection,250,0.005,20,0.001,32,18.8568210833474,0.002,1,TRUE,interior,1090.298186891,TRUE,-3.4415269482344e-06,0.005,29.0659246011405,-12.4569064870318,0.511
AIW-N,oracle_lambda_oracle_L,250,0.005,20,0.001,32,18.6166994932789,0.001,2,TRUE,interior,1082.39731037925,TRUE,-3.4415269482344e-06,0.005,29.0659246011405,-12.4569064870318,0.511
AIW-N,selected_lambda_oracle_L,250,0.005,20,0.001,32,23.1016267389989,0.002,2,TRUE,interior,1085.52476417214,TRUE,-3.4415269482344e-06,0.005,29.0659246011405,-12.4569064870318,0.511
collapsed-R,actual_selection,250,0.005,20,0.001,32,2.6073477499419,0.002,0,TRUE,interior,1082.60031366668,TRUE,-3.4415269482344e-06,0.005,29.0659246011405,-12.4569064870318,0.318999999999999
collapsed-R,oracle_lambda,250,0.005,20,0.001,32,1.98020556871878,0.001,0,TRUE,interior,1080.84993091669,TRUE,-3.4415269482344e-06,0.005,29.0659246011405,-12.4569064870318,0.318999999999999
AIW-N,actual_selection,250,2e-04,50,0.001,32,179.649527836267,0.01,5,TRUE,interior,1429.92415518981,TRUE,-2.84476623369066e-06,2e-04,5.81318468952485,-2.49137836663828,0.510999999999999
AIW-N,oracle_lambda_oracle_L,250,2e-04,50,0.001,32,18.9364767635853,0.001,2,TRUE,interior,1391.98464686004,TRUE,-2.84476623369066e-06,2e-04,5.81318468952485,-2.49137836663828,0.510999999999999
AIW-N,selected_lambda_oracle_L,250,2e-04,50,0.001,32,113.174379322798,0.01,2,TRUE,interior,1427.5949760311,TRUE,-2.84476623369066e-06,2e-04,5.81318468952485,-2.49137836663828,0.510999999999999
collapsed-R,actual_selection,250,2e-04,50,0.001,32,61.5983851257432,0.008,1,TRUE,interior,1426.35922213407,TRUE,-2.84476623369066e-06,2e-04,5.81318468952485,-2.49137836663828,0.293000000000003
collapsed-R,oracle_lambda,250,2e-04,50,0.001,32,8.00041528205465,0.001,0,TRUE,interior,1393.07600753078,TRUE,-2.84476623369066e-06,2e-04,5.81318468952485,-2.49137836663828,0.293000000000003
AIW-N,actual_selection,250,0.001,50,0.001,32,43.5766442155882,0.008,1,TRUE,interior,1294.5586347316,TRUE,-2.84476623369066e-06,0.001,12.9986761315386,-5.5708913854756,0.568000000000001
AIW-N,oracle_lambda_oracle_L,250,0.001,50,0.001,32,21.3309178340122,0.001,2,TRUE,interior,1261.53778714863,TRUE,-2.84476623369066e-06,0.001,12.9986761315386,-5.5708913854756,0.568000000000001
AIW-N,selected_lambda_oracle_L,250,0.001,50,0.001,32,61.6721661395723,0.008,2,TRUE,interior,1293.57575506974,TRUE,-2.84476623369066e-06,0.001,12.9986761315386,-5.5708913854756,0.568000000000001
collapsed-R,actual_selection,250,0.001,50,0.001,32,42.468729390753,0.008,1,TRUE,interior,1291.98464882426,TRUE,-2.84476623369066e-06,0.001,12.9986761315386,-5.5708913854756,0.715000000000003
collapsed-R,oracle_lambda,250,0.001,50,0.001,32,7.82573975667624,0.001,0,TRUE,interior,1260.78405676928,TRUE,-2.84476623369066e-06,0.001,12.9986761315386,-5.5708913854756,0.715000000000003
AIW-N,actual_selection,250,0.005,50,0.001,32,38.3064917379172,0.006,1,TRUE,interior,1119.14972743285,TRUE,-2.84476623369066e-06,0.005,29.0659234476242,-12.4568918331914,0.612
AIW-N,oracle_lambda_oracle_L,250,0.005,50,0.001,32,23.0236069445813,0.001,2,TRUE,interior,1090.49179444276,TRUE,-2.84476623369066e-06,0.005,29.0659234476242,-12.4568918331914,0.612
AIW-N,selected_lambda_oracle_L,250,0.005,50,0.001,32,57.2880386468497,0.008,2,TRUE,interior,1117.54130900198,TRUE,-2.84476623369066e-06,0.005,29.0659234476242,-12.4568918331914,0.612
collapsed-R,actual_selection,250,0.005,50,0.001,32,37.1507560122068,0.008,1,TRUE,interior,1114.03145466217,TRUE,-2.84476623369066e-06,0.005,29.0659234476242,-12.4568918331914,1.455
collapsed-R,oracle_lambda,250,0.005,50,0.001,32,1.44387365802283,0.001,0,TRUE,interior,1087.18476383279,TRUE,-2.84476623369066e-06,0.005,29.0659234476242,-12.4568918331914,1.455
AIW-N,actual_selection,250,2e-04,100,0.001,32,494.41823778794,0.004,5,TRUE,interior,1519.49272641242,TRUE,-5.58900809283834e-06,2e-04,5.81318575042971,-2.491391843951,0.503
AIW-N,oracle_lambda_oracle_L,250,2e-04,100,0.001,32,52.8858318718131,0.001,2,TRUE,interior,1512.77592272437,TRUE,-5.58900809283834e-06,2e-04,5.81318575042971,-2.491391843951,0.503
AIW-N,selected_lambda_oracle_L,250,2e-04,100,0.001,32,265.10042045812,0.004,2,TRUE,interior,1516.67669727387,TRUE,-5.58900809283834e-06,2e-04,5.81318575042971,-2.491391843951,0.503
collapsed-R,actual_selection,250,2e-04,100,0.001,32,264.716023045976,0.004,1,TRUE,interior,1513.83673654131,TRUE,-5.58900809283834e-06,2e-04,5.81318575042971,-2.491391843951,1.18200000000001
collapsed-R,oracle_lambda,250,2e-04,100,0.001,32,43.422983686261,0.001,1,TRUE,interior,1509.93560472747,TRUE,-5.58900809283834e-06,2e-04,5.81318575042971,-2.491391843951,1.18200000000001
AIW-N,actual_selection,250,0.001,100,0.001,32,121.581899940685,0.008,2,TRUE,interior,1373.52734361447,TRUE,-5.58900809283834e-06,0.001,12.998678503794,-5.57092152166299,0.568000000000001
AIW-N,oracle_lambda_oracle_L,250,0.001,100,0.001,32,40.3999739271533,0.001,2,TRUE,interior,1354.62407267565,TRUE,-5.58900809283834e-06,0.001,12.998678503794,-5.57092152166299,0.568000000000001
AIW-N,selected_lambda_oracle_L,250,0.001,100,0.001,32,121.581899940685,0.008,2,TRUE,interior,1373.52734361447,TRUE,-5.58900809283834e-06,0.001,12.998678503794,-5.57092152166299,0.568000000000001
