method,estimation_stage,J,h2,true_eta0,true_lambda,panel_seed,raw_eta0,selected_lambda,selected_L,eta0_finite,eta0_boundary,objective,converged,causal_correlation,achieved_h2,expected_z_1,expected_z_2,fit_seconds
AIW-N,actual_selection,500,2e-04,20,0.001,32,65.136794649331,0.006,5,TRUE,interior,2909.53967132011,TRUE,1.17029433420509e-05,2e-04,5.8131881140477,2.49142187015915,1.332
AIW-N,oracle_lambda_oracle_L,500,2e-04,20,0.001,32,13.5275313407087,0.001,2,TRUE,interior,2881.79299959137,TRUE,1.17029433420509e-05,2e-04,5.8131881140477,2.49142187015915,1.332
AIW-N,selected_lambda_oracle_L,500,2e-04,20,0.001,32,40.8884434707876,0.006,2,TRUE,interior,2905.92735541276,TRUE,1.17029433420509e-05,2e-04,5.8131881140477,2.49142187015915,1.332
collapsed-R,actual_selection,500,2e-04,20,0.001,32,24.795040523166,0.006,0,TRUE,interior,2904.2234784665,TRUE,1.17029433420509e-05,2e-04,5.8131881140477,2.49142187015915,0.362
collapsed-R,oracle_lambda,500,2e-04,20,0.001,32,3.98363660247536,0.001,0,TRUE,interior,2881.77911993526,TRUE,1.17029433420509e-05,2e-04,5.8131881140477,2.49142187015915,0.362
AIW-N,actual_selection,500,0.001,20,0.001,32,16.3217381399767,0.004,1,TRUE,interior,2549.30067738051,TRUE,1.17029433420509e-05,0.001,12.9986837890045,5.57098866230552,1.263
AIW-N,oracle_lambda_oracle_L,500,0.001,20,0.001,32,12.2864721127146,0.001,2,TRUE,interior,2525.35051504277,TRUE,1.17029433420509e-05,0.001,12.9986837890045,5.57098866230552,1.263
AIW-N,selected_lambda_oracle_L,500,0.001,20,0.001,32,22.4281311662731,0.004,2,TRUE,interior,2544.88811264368,TRUE,1.17029433420509e-05,0.001,12.9986837890045,5.57098866230552,1.263
collapsed-R,actual_selection,500,0.001,20,0.001,32,8.82824692004151,0.004,0,TRUE,interior,2545.28183342534,TRUE,1.17029433420509e-05,0.001,12.9986837890045,5.57098866230552,0.289000000000002
collapsed-R,oracle_lambda,500,0.001,20,0.001,32,3.10046372334893,0.001,0,TRUE,interior,2527.55545132786,TRUE,1.17029433420509e-05,0.001,12.9986837890045,5.57098866230552,0.289000000000002
AIW-N,actual_selection,500,0.005,20,0.001,32,15.3145448584186,0.004,1,TRUE,interior,2147.47769562587,TRUE,1.17029433420509e-05,0.005,29.0659405702385,12.4571093507958,1.101
AIW-N,oracle_lambda_oracle_L,500,0.005,20,0.001,32,11.4476540809803,0.001,2,TRUE,interior,2123.96870858336,TRUE,1.17029433420509e-05,0.005,29.0659405702385,12.4571093507958,1.101
AIW-N,selected_lambda_oracle_L,500,0.005,20,0.001,32,20.1161043123703,0.004,2,TRUE,interior,2142.34326089884,TRUE,1.17029433420509e-05,0.005,29.0659405702385,12.4571093507958,1.101
collapsed-R,actual_selection,500,0.005,20,0.001,32,2.00346120378492,0.004,0,TRUE,interior,2141.06173572506,TRUE,1.17029433420509e-05,0.005,29.0659405702385,12.4571093507958,0.308
collapsed-R,oracle_lambda,500,0.005,20,0.001,32,1.16197184889017,0.001,0,TRUE,interior,2125.3207068204,TRUE,1.17029433420509e-05,0.005,29.0659405702385,12.4571093507958,0.308
AIW-N,actual_selection,500,2e-04,50,0.001,32,75.9523515733536,0.002,5,TRUE,interior,3094.91081392059,TRUE,4.4826823681037e-06,2e-04,5.81318532273142,2.49138641065084,0.950000000000001
