method,estimation_stage,J,h2,true_eta0,true_lambda,panel_seed,raw_eta0,selected_lambda,selected_L,eta0_finite,eta0_boundary,objective,converged,causal_correlation,achieved_h2,expected_z_1,expected_z_2,fit_seconds
AIW-N,actual_selection,1000,2e-04,20,0.001,32,34.3087604131711,0.01,3,TRUE,interior,5685.62133486712,TRUE,-3.64203470713546e-06,2e-04,5.81318499774293,-2.49138228212532,2.368
AIW-N,oracle_lambda_oracle_L,1000,2e-04,20,0.001,32,4.7883501248621,0.001,2,TRUE,interior,5541.23638435112,TRUE,-3.64203470713546e-06,2e-04,5.81318499774293,-2.49138228212532,2.368
AIW-N,selected_lambda_oracle_L,1000,2e-04,20,0.001,32,25.2063045056292,0.01,2,TRUE,interior,5684.59585970037,TRUE,-3.64203470713546e-06,2e-04,5.81318499774293,-2.49138228212532,2.368
collapsed-R,actual_selection,1000,2e-04,20,0.001,32,15.4587724531514,0.01,0,TRUE,interior,5682.167149629,TRUE,-3.64203470713546e-06,2e-04,5.81318499774293,-2.49138228212532,0.513000000000001
collapsed-R,oracle_lambda,1000,2e-04,20,0.001,32,1,0.001,0,TRUE,interior,5540.95606948262,TRUE,-3.64203470713546e-06,2e-04,5.81318499774293,-2.49138228212532,0.513000000000001
AIW-N,actual_selection,1000,0.001,20,0.001,32,12.5410325319477,0.01,1,TRUE,interior,4894.74306952764,TRUE,-3.64203470713546e-06,0.001,12.9986768207352,-5.57090014077077,2.256
AIW-N,oracle_lambda_oracle_L,1000,0.001,20,0.001,32,4.54322222690061,0.001,2,TRUE,interior,4749.19024653293,TRUE,-3.64203470713546e-06,0.001,12.9986768207352,-5.57090014077077,2.256
AIW-N,selected_lambda_oracle_L,1000,0.001,20,0.001,32,17.971880599409,0.01,2,TRUE,interior,4889.23248904063,TRUE,-3.64203470713546e-06,0.001,12.9986768207352,-5.57090014077077,2.256
collapsed-R,actual_selection,1000,0.001,20,0.001,32,5.74916441736642,0.01,0,TRUE,interior,4889.66543067912,TRUE,-3.64203470713546e-06,0.001,12.9986768207352,-5.57090014077077,0.497
collapsed-R,oracle_lambda,1000,0.001,20,0.001,32,1,0.001,0,TRUE,interior,4752.73768800599,TRUE,-3.64203470713546e-06,0.001,12.9986768207352,-5.57090014077077,0.497
AIW-N,actual_selection,1000,0.005,20,0.001,32,11.823602630078,0.01,1,TRUE,interior,4079.53328816144,TRUE,-3.64203470713546e-06,0.005,29.0659249887147,-12.4569114106266,2.267
AIW-N,oracle_lambda_oracle_L,1000,0.005,20,0.001,32,4.51746625212905,0.001,2,TRUE,interior,3939.00473851068,TRUE,-3.64203470713546e-06,0.005,29.0659249887147,-12.4569114106266,2.267
AIW-N,selected_lambda_oracle_L,1000,0.005,20,0.001,32,16.9329156930066,0.01,2,TRUE,interior,4074.00319562116,TRUE,-3.64203470713546e-06,0.005,29.0659249887147,-12.4569114106266,2.267
collapsed-R,actual_selection,1000,0.005,20,0.001,32,1.51295086906911,0.01,0,TRUE,interior,4073.89340236508,TRUE,-3.64203470713546e-06,0.005,29.0659249887147,-12.4569114106266,0.485999999999999
collapsed-R,oracle_lambda,1000,0.005,20,0.001,32,1,0.001,0,TRUE,interior,3941.64306949128,TRUE,-3.64203470713546e-06,0.005,29.0659249887147,-12.4569114106266,0.485999999999999
