method,estimation_stage,J,h2,true_eta0,true_lambda,panel_seed,raw_eta0,selected_lambda,selected_L,eta0_finite,eta0_boundary,objective,converged,causal_correlation,achieved_h2,expected_z_1,expected_z_2,fit_seconds
AIW-N,actual_selection,1000,2e-04,20,0.001,31,7.91869408932213,0.004,1,TRUE,interior,5529.242766514,TRUE,-6.84577189184798e-05,2e-04,5.81321005603133,-2.49170059333966,2.431
AIW-N,oracle_lambda_oracle_L,1000,2e-04,20,0.001,31,6.89989966670878,0.001,2,TRUE,interior,5465.77308745218,TRUE,-6.84577189184798e-05,2e-04,5.81321005603133,-2.49170059333966,2.431
AIW-N,selected_lambda_oracle_L,1000,2e-04,20,0.001,31,14.9194959350298,0.004,2,TRUE,interior,5524.63885886655,TRUE,-6.84577189184798e-05,2e-04,5.81321005603133,-2.49170059333966,2.431
collapsed-R,actual_selection,1000,2e-04,20,0.001,31,4.94523813336661,0.004,0,TRUE,interior,5526.80959537634,TRUE,-6.84577189184798e-05,2e-04,5.81321005603133,-2.49170059333966,0.522999999999999
collapsed-R,oracle_lambda,1000,2e-04,20,0.001,31,1.28510613942221,0.001,0,TRUE,interior,5469.35242466203,TRUE,-6.84577189184798e-05,2e-04,5.81321005603133,-2.49170059333966,0.522999999999999
AIW-N,actual_selection,1000,0.001,20,0.001,31,14.0376763714895,0.006,1,TRUE,interior,5019.61917439392,TRUE,-6.84577189184798e-05,0.001,12.9987328527714,-5.57161190628405,2.496
AIW-N,oracle_lambda_oracle_L,1000,0.001,20,0.001,31,9.14444268974152,0.001,2,TRUE,interior,4947.0953973886,TRUE,-6.84577189184798e-05,0.001,12.9987328527714,-5.57161190628405,2.496
AIW-N,selected_lambda_oracle_L,1000,0.001,20,0.001,31,23.1430268569953,0.006,2,TRUE,interior,5015.04624472426,TRUE,-6.84577189184798e-05,0.001,12.9987328527714,-5.57161190628405,2.496
collapsed-R,actual_selection,1000,0.001,20,0.001,31,2.568849097336,0.004,0,TRUE,interior,5015.68545321978,TRUE,-6.84577189184798e-05,0.001,12.9987328527714,-5.57161190628405,0.460999999999997
collapsed-R,oracle_lambda,1000,0.001,20,0.001,31,1,0.001,0,TRUE,interior,4951.43486232958,TRUE,-6.84577189184798e-05,0.001,12.9987328527714,-5.57161190628405,0.460999999999997
AIW-N,actual_selection,1000,0.005,20,0.001,31,16.939269779593,0.006,1,TRUE,interior,4343.96683438229,TRUE,-6.84577189184798e-05,0.005,29.0660502801566,-12.4585029666983,2.392
AIW-N,oracle_lambda_oracle_L,1000,0.005,20,0.001,31,9.91698154449374,0.001,2,TRUE,interior,4265.37330887971,TRUE,-6.84577189184798e-05,0.005,29.0660502801566,-12.4585029666983,2.392
AIW-N,selected_lambda_oracle_L,1000,0.005,20,0.001,31,24.5107593493785,0.006,2,TRUE,interior,4338.99377999343,TRUE,-6.84577189184798e-05,0.005,29.0660502801566,-12.4585029666983,2.392
collapsed-R,actual_selection,1000,0.005,20,0.001,31,1.90506501232427,0.006,0,TRUE,interior,4337.30293658818,TRUE,-6.84577189184798e-05,0.005,29.0660502801566,-12.4585029666983,0.491
collapsed-R,oracle_lambda,1000,0.005,20,0.001,31,1,0.001,0,TRUE,interior,4268.37751598729,TRUE,-6.84577189184798e-05,0.005,29.0660502801566,-12.4585029666983,0.491
AIW-N,actual_selection,1000,2e-04,50,0.001,31,136.564690005107,0.006,4,TRUE,interior,6132.41446877246,TRUE,-1.33990499185687e-05,2e-04,5.81318876975754,-2.49143019990362,2.067
AIW-N,oracle_lambda_oracle_L,1000,2e-04,50,0.001,31,16.2788340219322,0.001,2,TRUE,interior,6038.48669094758,TRUE,-1.33990499185687e-05,2e-04,5.81318876975754,-2.49143019990362,2.067
AIW-N,selected_lambda_oracle_L,1000,2e-04,50,0.001,31,96.7101664200808,0.006,2,TRUE,interior,6129.00631256894,TRUE,-1.33990499185687e-05,2e-04,5.81318876975754,-2.49143019990362,2.067
collapsed-R,actual_selection,1000,2e-04,50,0.001,31,82.327623462205,0.006,1,TRUE,interior,6124.74139712465,TRUE,-1.33990499185687e-05,2e-04,5.81318876975754,-2.49143019990362,0.338000000000001
collapsed-R,oracle_lambda,1000,2e-04,50,0.001,31,9.33143213980804,0.001,0,TRUE,interior,6034.90456902877,TRUE,-1.33990499185687e-05,2e-04,5.81318876975754,-2.49143019990362,0.338000000000001
AIW-N,actual_selection,1000,0.001,50,0.001,31,38.5471886897298,0.006,1,TRUE,interior,5479.43046493064,TRUE,-1.33990499185687e-05,0.001,12.9986852552162,-5.57100728818039,2.32
AIW-N,oracle_lambda_oracle_L,1000,0.001,50,0.001,31,16.8212927729437,0.001,2,TRUE,interior,5373.7474307614,TRUE,-1.33990499185687e-05,0.001,12.9986852552162,-5.57100728818039,2.32
AIW-N,selected_lambda_oracle_L,1000,0.001,50,0.001,31,49.8215206677612,0.006,2,TRUE,interior,5475.77596646499,TRUE,-1.33990499185687e-05,0.001,12.9986852552162,-5.57100728818039,2.32
collapsed-R,actual_selection,1000,0.001,50,0.001,31,31.0873248715685,0.006,1,TRUE,interior,5474.7326302042,TRUE,-1.33990499185687e-05,0.001,12.9986852552162,-5.57100728818039,0.51400000000001
collapsed-R,oracle_lambda,1000,0.001,50,0.001,31,7.64684736286603,0.001,0,TRUE,interior,5374.80253729965,TRUE,-1.33990499185687e-05,0.001,12.9986852552162,-5.57100728818039,0.51400000000001
AIW-N,actual_selection,1000,0.005,50,0.001,31,35.5419896484209,0.006,1,TRUE,interior,4710.43750890627,TRUE,-1.33990499185687e-05,0.005,29.0659438487877,-12.4571509995181,2.4
AIW-N,oracle_lambda_oracle_L,1000,0.005,50,0.001,31,16.919817119648,0.001,2,TRUE,interior,4604.76536427319,TRUE,-1.33990499185687e-05,0.005,29.0659438487877,-12.4571509995181,2.4
AIW-N,selected_lambda_oracle_L,1000,0.005,50,0.001,31,44.9304993168774,0.006,2,TRUE,interior,4706.42576063123,TRUE,-1.33990499185687e-05,0.005,29.0659438487877,-12.4571509995181,2.4
collapsed-R,actual_selection,1000,0.005,50,0.001,31,7.28325137414792,0.006,0,TRUE,interior,4696.21494151098,TRUE,-1.33990499185687e-05,0.005,29.0659438487877,-12.4571509995181,0.393999999999998
collapsed-R,oracle_lambda,1000,0.005,50,0.001,31,1.64650716396364,0.001,0,TRUE,interior,4604.13756735489,TRUE,-1.33990499185687e-05,0.005,29.0659438487877,-12.4571509995181,0.393999999999998
AIW-N,actual_selection,1000,2e-04,100,0.001,31,84.7519128676201,0.002,4,TRUE,interior,6396.69776747097,TRUE,-2.41801332467434e-06,2e-04,5.81318452454546,-2.49137627079954,2.372
AIW-N,oracle_lambda_oracle_L,1000,2e-04,100,0.001,31,26.3733572124906,0.001,2,TRUE,interior,6384.41279660277,TRUE,-2.41801332467434e-06,2e-04,5.81318452454546,-2.49137627079954,2.372
AIW-N,selected_lambda_oracle_L,1000,2e-04,100,0.001,31,56.1245553078117,0.002,2,TRUE,interior,6394.39456464412,TRUE,-2.41801332467434e-06,2e-04,5.81318452454546,-2.49137627079954,2.372
collapsed-R,actual_selection,1000,2e-04,100,0.001,31,29.9737376521344,0.002,0,TRUE,interior,6386.39562026493,TRUE,-2.41801332467434e-06,2e-04,5.81318452454546,-2.49137627079954,0.27699999999999
collapsed-R,oracle_lambda,1000,2e-04,100,0.001,31,8.67035167609722,0.001,0,TRUE,interior,6376.92935606688,TRUE,-2.41801332467434e-06,2e-04,5.81318452454546,-2.49137627079954,0.27699999999999
