method,estimation_stage,J,h2,true_eta0,true_lambda,panel_seed,raw_eta0,selected_lambda,selected_L,eta0_finite,eta0_boundary,objective,converged,causal_correlation,achieved_h2,expected_z_1,expected_z_2,fit_seconds
AIW-N,oracle_lambda_oracle_L,100,0.005,50,0.001,31,21.0206372414693,0.001,2,TRUE,interior,446.402699884534,TRUE,2.11521492222183e-07,0.005,29.0659183576706,12.4568271721167,0.267000000000001
AIW-N,selected_lambda_oracle_L,100,0.005,50,0.001,31,27.4086333243466,0.002,2,TRUE,interior,446.417402998717,TRUE,2.11521492222183e-07,0.005,29.0659183576706,12.4568271721167,0.267000000000001
collapsed-R,actual_selection,100,0.005,50,0.001,31,2.79363212184227,0.001,0,TRUE,interior,442.722138246378,TRUE,2.11521492222183e-07,0.005,29.0659183576706,12.4568271721167,3.071
collapsed-R,oracle_lambda,100,0.005,50,0.001,31,2.79363212184227,0.001,0,TRUE,interior,442.722138246378,TRUE,2.11521492222183e-07,0.005,29.0659183576706,12.4568271721167,3.071
AIW-N,actual_selection,100,2e-04,100,0.001,31,28.1556961933885,0.001,3,TRUE,interior,607.134964479533,TRUE,0.00014849564303644,2e-04,5.81324100215997,2.49209364258017,0.227
AIW-N,oracle_lambda_oracle_L,100,2e-04,100,0.001,31,28.5542890839675,0.001,2,TRUE,interior,606.733737575792,TRUE,0.00014849564303644,2e-04,5.81324100215997,2.49209364258017,0.227
AIW-N,selected_lambda_oracle_L,100,2e-04,100,0.001,31,47.4241257549609,0.002,2,TRUE,interior,606.823403515343,TRUE,0.00014849564303644,2e-04,5.81324100215997,2.49209364258017,0.227
collapsed-R,actual_selection,100,2e-04,100,0.001,31,45.7864705671025,0.002,1,TRUE,interior,604.899731553434,TRUE,0.00014849564303644,2e-04,5.81324100215997,2.49209364258017,0.389999999999999
collapsed-R,oracle_lambda,100,2e-04,100,0.001,31,25.4910896910389,0.001,1,TRUE,interior,604.514985547038,TRUE,0.00014849564303644,2e-04,5.81324100215997,2.49209364258017,0.389999999999999
AIW-N,actual_selection,100,0.001,100,0.001,31,29.0728088114518,0.001,1,TRUE,interior,548.901931992852,TRUE,0.00014849564303644,0.001,12.9988020504187,5.57249079110433,0.360999999999997
AIW-N,oracle_lambda_oracle_L,100,0.001,100,0.001,31,34.0928111616783,0.001,2,TRUE,interior,544.932330859887,TRUE,0.00014849564303644,0.001,12.9988020504187,5.57249079110433,0.360999999999997
AIW-N,selected_lambda_oracle_L,100,0.001,100,0.001,31,46.5164500299542,0.002,2,TRUE,interior,544.976719762292,TRUE,0.00014849564303644,0.001,12.9988020504187,5.57249079110433,0.360999999999997
collapsed-R,actual_selection,100,0.001,100,0.001,31,25.346684109746,0.001,1,TRUE,interior,547.180825791095,TRUE,0.00014849564303644,0.001,12.9988020504187,5.57249079110433,0.943999999999999
collapsed-R,oracle_lambda,100,0.001,100,0.001,31,25.346684109746,0.001,1,TRUE,interior,547.180825791095,TRUE,0.00014849564303644,0.001,12.9988020504187,5.57249079110433,0.943999999999999
AIW-N,actual_selection,100,0.005,100,0.001,31,29.2369394686666,0.001,1,TRUE,interior,476.129456740745,TRUE,0.00014849564303644,0.005,29.0662050107998,12.4604682129009,0.327999999999999
AIW-N,oracle_lambda_oracle_L,100,0.005,100,0.001,31,34.6474212670506,0.001,2,TRUE,interior,472.419109429878,TRUE,0.00014849564303644,0.005,29.0662050107998,12.4604682129009,0.327999999999999
AIW-N,selected_lambda_oracle_L,100,0.005,100,0.001,31,34.6474212670506,0.001,2,TRUE,interior,472.419109429878,TRUE,0.00014849564303644,0.005,29.0662050107998,12.4604682129009,0.327999999999999
collapsed-R,actual_selection,100,0.005,100,0.001,31,21.9446981517592,0.001,1,TRUE,interior,472.508707078742,TRUE,0.00014849564303644,0.005,29.0662050107998,12.4604682129009,4.322
collapsed-R,oracle_lambda,100,0.005,100,0.001,31,21.9446981517592,0.001,1,TRUE,interior,472.508707078742,TRUE,0.00014849564303644,0.005,29.0662050107998,12.4604682129009,4.322
AIW-N,actual_selection,100,2e-04,200,0.001,31,257.502304308302,0.001,4,TRUE,interior,640.918108605024,TRUE,9.67714325840016e-05,2e-04,5.81322100298661,2.49183963833655,0.245000000000001
AIW-N,oracle_lambda_oracle_L,100,2e-04,200,0.001,31,202.243238518149,0.001,2,TRUE,interior,640.734365351189,TRUE,9.67714325840016e-05,2e-04,5.81322100298661,2.49183963833655,0.245000000000001
AIW-N,selected_lambda_oracle_L,100,2e-04,200,0.001,31,202.243238518149,0.001,2,TRUE,interior,640.734365351189,TRUE,9.67714325840016e-05,2e-04,5.81322100298661,2.49183963833655,0.245000000000001
collapsed-R,actual_selection,100,2e-04,200,0.001,31,180.582201461774,0.001,1,TRUE,interior,638.212503886945,TRUE,9.67714325840016e-05,2e-04,5.81322100298661,2.49183963833655,1.992
collapsed-R,oracle_lambda,100,2e-04,200,0.001,31,180.582201461774,0.001,1,TRUE,interior,638.212503886945,TRUE,9.67714325840016e-05,2e-04,5.81322100298661,2.49183963833655,1.992
AIW-N,actual_selection,100,0.001,200,0.001,31,212.73322153572,0.001,5,TRUE,interior,608.074333988008,TRUE,9.67714325840016e-05,0.001,12.9987573309076,5.57192282034901,0.277999999999999
AIW-N,oracle_lambda_oracle_L,100,0.001,200,0.001,31,156.326111238038,0.001,2,TRUE,interior,606.677561699277,TRUE,9.67714325840016e-05,0.001,12.9987573309076,5.57192282034901,0.277999999999999
AIW-N,selected_lambda_oracle_L,100,0.001,200,0.001,31,156.326111238038,0.001,2,TRUE,interior,606.677561699277,TRUE,9.67714325840016e-05,0.001,12.9987573309076,5.57192282034901,0.277999999999999
collapsed-R,actual_selection,100,0.001,200,0.001,31,122.881632051338,0.001,1,TRUE,interior,605.264939434241,TRUE,9.67714325840016e-05,0.001,12.9987573309076,5.57192282034901,0.761999999999993
