"true_lambda","true_eta0","r0_seed","replicate","seed","profile_type","candidate_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lower_bound","elbo_below_best","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,20,3,2,100003,"corrected_2x_eta0",0.008,13.0199367756316,26.0398735512632,2,-0.429250492727632,0.263896687832313,2.07944154167984,"interior",1830.76213012195,-4.56828979620877,0,0,0,FALSE,0.205958054156477,0.0442608688716571,TRUE,72,0.539000000000001,"262, 268"
0.001,20,3,2,100003,"corrected_2x_eta0",0.01,14.6268086290804,29.2536172581607,2,-0.312876221136531,0.380270959423414,2.30258509299405,"interior",1826.40970907892,-8.92071083923565,0,0,0,FALSE,0.210726437283603,0.0375066213372595,TRUE,65,0.502000000000001,"262, 268"
0.001,20,3,2,100003,"profiled_eta0",1e-05,2,2,1,-2.30258509299405,-2.30258509299405,-4.60517018598809,"lower",1245.96859383,-590.523384225715,0,0,0,FALSE,0.0269602947286049,0.0267799133462654,TRUE,144,0.577999999999999,"262, 268"
0.001,20,3,2,100003,"profiled_eta0",1e-04,2,2,1,-2.30258509299405,-2.30258509299405,-2.30258509299405,"lower",1624.94924272346,-211.542735332249,0,0,0,FALSE,0.026687657474922,0.0265228185038591,TRUE,127,0.534000000000001,"262, 268"
0.001,20,3,2,100003,"profiled_eta0",0.001,2,2,1,-2.30258509299405,-2.30258509299405,0,"lower",1804.74893991919,-31.7430381365209,0,0,0,FALSE,0.0266278523829948,0.0264666591660772,TRUE,121,0.482000000000001,"262, 268"
0.001,20,3,2,100003,"profiled_eta0",0.002,2,2,1,-2.30258509299405,-2.30258509299405,0.693147180559945,"lower",1826.91474136831,-9.57723668739777,0,0,0,FALSE,0.0266963132765821,0.0265317974738528,TRUE,119,0.479000000000001,"262, 268"
0.001,20,3,2,100003,"profiled_eta0",0.004,8.88173875165216,8.88173875165216,1,-0.811734930351046,-0.811734930351046,1.38629436111989,"interior",1836.49197805571,0,0,0,0,FALSE,0.144027502993711,0.0930778935720799,TRUE,170,0.701,"262, 268"
0.001,20,3,2,100003,"profiled_eta0",0.006,11.1607904747403,11.1607904747403,1,-0.583325488039305,-0.583325488039305,1.79175946922805,"interior",1835.77965351675,-0.712324538967096,0,0,0,FALSE,0.158708941746129,0.0887674657212396,TRUE,137,0.517999999999999,"262, 268"
0.001,20,3,2,100003,"profiled_eta0",0.008,13.0199367756316,13.0199367756316,1,-0.429250492727632,-0.429250492727632,2.07944154167984,"interior",1832.47463699826,-4.01734105745049,0,0,0,FALSE,0.168362044699076,0.0834673973852759,TRUE,123,0.458,"262, 268"
0.001,20,3,2,100003,"profiled_eta0",0.01,14.6268086290804,14.6268086290804,1,-0.312876221136531,-0.312876221136531,2.30258509299405,"interior",1828.31745912404,-8.17451893166867,0,0,0,FALSE,0.17546430907182,0.078285175132529,TRUE,114,0.424,"262, 268"
0.001,20,3,3,100004,"corrected_2x_eta0",1e-05,2,4,2,-2.30258509299405,-1.6094379124341,-4.60517018598809,"lower",1382.55665377103,-485.356841308278,0,0,0,FALSE,0.0380245727324965,0.0354704402780649,TRUE,132,0.682,"231, 273"
0.001,20,3,3,100004,"corrected_2x_eta0",1e-04,2,4,2,-2.30258509299405,-1.6094379124341,-2.30258509299405,"lower",1694.24052558199,-173.672969497323,0,0,0,FALSE,0.0377011615019647,0.0352013671939431,TRUE,125,0.644999999999996,"231, 273"
0.001,20,3,3,100004,"corrected_2x_eta0",0.001,2,4,2,-2.30258509299405,-1.6094379124341,0,"lower",1823.77552550279,-44.1379695765247,0,0,0,FALSE,0.0375996056316314,0.0351167921394769,TRUE,123,0.596,"231, 273"
0.001,20,3,3,100004,"corrected_2x_eta0",0.002,2,4,2,-2.30258509299405,-1.6094379124341,0.693147180559945,"lower",1847.10840240901,-20.8050926702992,0,0,0,FALSE,0.0375471756183164,0.035073115721152,TRUE,122,0.593,"231, 273"
0.001,20,3,3,100004,"corrected_2x_eta0",0.004,2.01481463530367,4.02962927060734,2,-2.29520507479203,-1.60205789423209,1.38629436111989,"interior",1862.69045232576,-5.223042753551,0,0,0,FALSE,0.0379384409632387,0.0353959820801756,TRUE,122,0.570999999999998,"231, 273"
0.001,20,3,3,100004,"corrected_2x_eta0",0.006,2.86475370635067,5.72950741270133,2,-1.94324989345236,-1.25010271289241,1.79175946922805,"interior",1867.10013963328,-0.813355446030073,0,0,0,FALSE,0.0668134652665384,0.0573918752119906,TRUE,119,0.556000000000001,"231, 273"
0.001,20,3,3,100004,"corrected_2x_eta0",0.008,3.94005284447122,7.88010568894245,2,-1.62453813803175,-0.931390957471806,2.07944154167984,"interior",1867.91349507931,0,0,0,0,FALSE,0.117650888427424,0.0880387490307307,TRUE,115,0.549000000000003,"231, 273"
0.001,20,3,3,100004,"corrected_2x_eta0",0.01,5.48642211541637,10.9728442308327,2,-1.29345593988336,-0.600308759323412,2.30258509299405,"interior",1867.06625277263,-0.84724230668462,0,0,0,FALSE,0.185490538093713,0.112224224532479,TRUE,97,0.551999999999996,"231, 273"
0.001,20,3,3,100004,"profiled_eta0",1e-05,2,2,1,-2.30258509299405,-2.30258509299405,-4.60517018598809,"lower",1385.91788353537,-482.180594965582,0,0,0,FALSE,0.0204478463919162,0.0201960541931224,TRUE,129,0.532,"231, 273"
0.001,20,3,3,100004,"profiled_eta0",1e-04,2,2,1,-2.30258509299405,-2.30258509299405,-2.30258509299405,"lower",1696.01753721887,-172.08094128208,0,0,0,FALSE,0.0204431629167153,0.0201920636487897,TRUE,117,0.504999999999999,"231, 273"
0.001,20,3,3,100004,"profiled_eta0",0.001,2,2,1,-2.30258509299405,-2.30258509299405,0,"lower",1824.54996192632,-43.5485165746293,0,0,0,FALSE,0.0204323198356143,0.020182157646224,TRUE,113,0.458000000000002,"231, 273"
0.001,20,3,3,100004,"profiled_eta0",0.002,2,2,1,-2.30258509299405,-2.30258509299405,0.693147180559945,"lower",1847.5861260432,-20.5123524577546,0,0,0,FALSE,0.0204267940638676,0.0201770799138913,TRUE,112,0.453999999999997,"231, 273"
0.001,20,3,3,100004,"profiled_eta0",0.004,2.01481463530367,2.01481463530367,1,-2.29520507479203,-2.29520507479203,1.38629436111989,"interior",1862.87250618001,-5.22597232094859,0,0,0,FALSE,0.0205306947876193,0.0202727772096017,TRUE,112,0.436,"231, 273"
0.001,20,3,3,100004,"profiled_eta0",0.006,2.86475370635067,2.86475370635067,1,-1.94324989345236,-1.94324989345236,1.79175946922805,"interior",1867.29180603741,-0.806672463541418,0,0,0,FALSE,0.027126718167141,0.0262028868305973,TRUE,111,0.427,"231, 273"
0.001,20,3,3,100004,"profiled_eta0",0.008,3.94005284447122,3.94005284447122,1,-1.62453813803175,-1.62453813803175,2.07944154167984,"interior",1868.09847850095,0,0,0,0,FALSE,0.0388362753313611,0.036138376540129,TRUE,109,0.422000000000001,"231, 273"
0.001,20,3,3,100004,"profiled_eta0",0.01,5.48642211541637,5.48642211541637,1,-1.29345593988336,-1.29345593988336,2.30258509299405,"interior",1867.30676196072,-0.791716540232756,0,0,0,FALSE,0.0635906821000393,0.0551049636761869,TRUE,113,0.440999999999999,"231, 273"
0.001,20,3,4,100005,"corrected_2x_eta0",1e-05,2,4,2,-2.30258509299405,-1.6094379124341,-4.60517018598809,"lower",1329.31529292537,-496.34625188109,0,0,0,FALSE,0.0376775282726299,0.0180049974488151,TRUE,150,0.702999999999999,"238, 307"
0.001,20,3,4,100005,"corrected_2x_eta0",1e-04,2,4,2,-2.30258509299405,-1.6094379124341,-2.30258509299405,"lower",1633.91061467664,-191.750930129816,0,0,0,FALSE,0.0373888720422276,0.0180291837137555,TRUE,143,0.635999999999999,"238, 307"
0.001,20,3,4,100005,"corrected_2x_eta0",0.001,2,4,2,-2.30258509299405,-1.6094379124341,0,"lower",1764.2827887774,-61.3787560290591,0,0,0,FALSE,0.0372995291996626,0.0180365915556316,TRUE,141,0.602999999999998,"238, 307"
0.001,20,3,4,100005,"corrected_2x_eta0",0.002,2,4,2,-2.30258509299405,-1.6094379124341,0.693147180559945,"lower",1791.10041930169,-34.5611255047652,0,0,0,FALSE,0.0372536358150343,0.0180403808149244,TRUE,140,0.603000000000002,"238, 307"
0.001,20,3,4,100005,"corrected_2x_eta0",0.004,2,4,2,-2.30258509299405,-1.6094379124341,1.38629436111989,"lower",1812.33407193167,-13.3274728747849,0,0,0,FALSE,0.0372535895645988,0.0180403792752669,TRUE,140,0.599999999999998,"238, 307"
0.001,20,3,4,100005,"corrected_2x_eta0",0.006,2.84080495241748,5.68160990483495,2,-1.95164482759087,-1.25849764703093,1.79175946922805,"interior",1820.91179412461,-4.74975068184949,0,0,0,FALSE,0.0662565673640285,0.01503048483429,TRUE,138,0.587,"238, 307"
0.001,20,3,4,100005,"corrected_2x_eta0",0.008,3.94820208023592,7.89640416047183,2,-1.6224719678226,-0.929324787262651,2.07944154167984,"interior",1825.11485782633,-0.546686980124605,0,0,0,FALSE,0.170493728050103,0.00874888466032908,TRUE,201,0.652999999999999,"238, 307"
0.001,20,3,4,100005,"corrected_2x_eta0",0.01,11.655842744437,23.311685488874,2,-0.539924696135333,0.153222484424612,2.30258509299405,"interior",1825.66154480646,0,1,1,0.5,FALSE,0.274235535363622,0.00856810970820188,TRUE,62,1.247,"238, 307"
0.001,20,3,4,100005,"profiled_eta0",1e-05,2,2,1,-2.30258509299405,-2.30258509299405,-4.60517018598809,"lower",1332.71925062483,-494.540972295847,0,0,0,FALSE,0.0217636972834365,0.0180127232897794,TRUE,128,0.524000000000001,"238, 307"
0.001,20,3,4,100005,"profiled_eta0",1e-04,2,2,1,-2.30258509299405,-2.30258509299405,-2.30258509299405,"lower",1635.75649222024,-191.503730700439,0,0,0,FALSE,0.0217301976665099,0.0180021132988952,TRUE,116,0.475999999999999,"238, 307"
0.001,20,3,4,100005,"profiled_eta0",0.001,2,2,1,-2.30258509299405,-2.30258509299405,0,"lower",1765.11872200519,-62.1415009154889,0,0,0,FALSE,0.0217131111859392,0.0179970626658642,TRUE,112,0.447999999999997,"238, 307"
0.001,20,3,4,100005,"profiled_eta0",0.002,2,2,1,-2.30258509299405,-2.30258509299405,0.693147180559945,"lower",1791.62401943886,-35.6362034818137,0,0,0,FALSE,0.0217094091434474,0.017995915460899,TRUE,111,0.449000000000002,"238, 307"
0.001,20,3,4,100005,"profiled_eta0",0.004,2,2,1,-2.30258509299405,-2.30258509299405,1.38629436111989,"lower",1812.53323461684,-14.7269883038316,0,0,0,FALSE,0.0217245515398474,0.0179993810931578,TRUE,111,0.446999999999999,"238, 307"
0.001,20,3,4,100005,"profiled_eta0",0.006,2.84080495241748,2.84080495241748,1,-1.95164482759087,-1.95164482759087,1.79175946922805,"interior",1821.10926855219,-6.15095436848651,0,0,0,FALSE,0.0277358428321712,0.018552058247696,TRUE,110,0.428000000000001,"238, 307"
0.001,20,3,4,100005,"profiled_eta0",0.008,3.94820208023592,3.94820208023592,1,-1.6224719678226,-1.6224719678226,2.07944154167984,"interior",1825.13202500758,-2.12819791309221,0,0,0,FALSE,0.0382836932149397,0.0179244791299626,TRUE,110,0.420999999999999,"238, 307"
0.001,20,3,4,100005,"profiled_eta0",0.01,11.655842744437,11.655842744437,1,-0.539924696135333,-0.539924696135333,2.30258509299405,"interior",1827.26022292068,0,1,1,0.5,FALSE,0.222978640824237,0.00801893945630072,TRUE,300,1.176,"238, 307"
0.001,20,3,5,100006,"corrected_2x_eta0",1e-05,2,4,2,-2.30258509299405,-1.6094379124341,-4.60517018598809,"lower",1196.86282602546,-672.205913017695,0,0,0,FALSE,0.0502393814427677,0.0127653230704712,TRUE,266,0.850000000000005,"189, 233"
0.001,20,3,5,100006,"corrected_2x_eta0",1e-04,2,4,2,-2.30258509299405,-1.6094379124341,-2.30258509299405,"lower",1592.47384674403,-276.594892299131,0,0,0,FALSE,0.0485714184848988,0.0130036742660334,TRUE,239,0.773,"189, 233"
0.001,20,3,5,100006,"corrected_2x_eta0",0.001,2,4,2,-2.30258509299405,-1.6094379124341,0,"lower",1804.3613170632,-64.7074219799597,0,0,0,FALSE,0.0478290619010663,0.0131112959163197,TRUE,228,0.785,"189, 233"
0.001,20,3,5,100006,"corrected_2x_eta0",0.002,2,4,2,-2.30258509299405,-1.6094379124341,0.693147180559945,"lower",1837.04309949963,-32.0256395435281,0,0,0,FALSE,0.0476897390546628,0.0131315942101299,TRUE,226,0.702000000000002,"189, 233"
0.001,20,3,5,100006,"corrected_2x_eta0",0.004,11.4425605030492,22.8851210060983,2,-0.558392492449737,0.134754688110208,1.38629436111989,"interior",1857.45377210078,-11.614966942381,1,1,0.5,FALSE,0.167816362204077,0.00794044069616839,TRUE,79,0.948,"189, 233"
0.001,20,3,5,100006,"corrected_2x_eta0",0.006,14.4070009599692,28.8140019199385,2,-0.328018007342518,0.365129173217428,1.79175946922805,"interior",1864.90684315338,-4.16189588977454,1,1,0.5,FALSE,0.182165117917975,0.00793286146592065,TRUE,64,0.517000000000003,"189, 233"
0.001,20,3,5,100006,"corrected_2x_eta0",0.008,16.9747005150738,33.9494010301475,2,-0.164008242970388,0.529138937589558,2.07944154167984,"interior",1867.94178182004,-1.12695722312083,1,1,0.5,FALSE,0.194452949020275,0.00792266375156592,TRUE,61,0.455000000000005,"189, 233"
0.001,20,3,5,100006,"corrected_2x_eta0",0.01,19.2937780860799,38.5875561721597,2,-0.0359496085780107,0.657197571981935,2.30258509299405,"interior",1869.06873904316,0,1,1,0.5,FALSE,0.205128527743564,0.00770209621203566,TRUE,104,0.497,"189, 233"
0.001,20,3,5,100006,"profiled_eta0",1e-05,2,2,1,-2.30258509299405,-2.30258509299405,-4.60517018598809,"lower",1200.66887425303,-670.908632502591,0,0,0,FALSE,0.0198331670584568,0.0161769577443799,TRUE,137,0.549000000000003,"189, 233"
0.001,20,3,5,100006,"profiled_eta0",1e-04,2,2,1,-2.30258509299405,-2.30258509299405,-2.30258509299405,"lower",1594.3634562497,-277.214050505926,0,0,0,FALSE,0.019831599986909,0.0161727655084878,TRUE,119,0.492999999999999,"189, 233"
0.001,20,3,5,100006,"profiled_eta0",0.001,2,2,1,-2.30258509299405,-2.30258509299405,0,"lower",1804.92517056583,-66.6523361897905,0,0,0,FALSE,0.0198400169379985,0.0161720138915854,TRUE,112,0.455000000000002,"189, 233"
0.001,20,3,5,100006,"profiled_eta0",0.002,2,2,1,-2.30258509299405,-2.30258509299405,0.693147180559945,"lower",1837.27399061369,-34.3035161419314,0,0,0,FALSE,0.0198740130388017,0.0161763728345782,TRUE,111,0.443000000000001,"189, 233"
0.001,20,3,5,100006,"profiled_eta0",0.004,11.4425605030492,11.4425605030492,1,-0.558392492449737,-0.558392492449737,1.38629436111989,"interior",1859.19370073563,-12.383806019993,1,1,0.5,FALSE,0.138141478654972,0.00796251497235667,TRUE,223,0.859000000000002,"189, 233"
0.001,20,3,5,100006,"profiled_eta0",0.006,14.4070009599692,14.4070009599692,1,-0.328018007342518,-0.328018007342518,1.79175946922805,"interior",1867.01687708116,-4.56062967446178,1,1,0.5,FALSE,0.146205255183744,0.00794523814922588,TRUE,115,0.444000000000003,"189, 233"
0.001,20,3,5,100006,"profiled_eta0",0.008,16.9747005150738,16.9747005150738,1,-0.164008242970388,-0.164008242970388,2.07944154167984,"interior",1870.3337122034,-1.24379455222061,1,1,0.5,FALSE,0.152936412423671,0.00794059928530544,TRUE,100,0.383000000000003,"189, 233"
0.001,20,3,5,100006,"profiled_eta0",0.01,19.2937780860799,19.2937780860799,1,-0.0359496085780107,-0.0359496085780107,2.30258509299405,"interior",1871.57750675562,0,1,1,0.5,FALSE,0.158862325491274,0.00793704994476241,TRUE,90,0.372,"189, 233"
0.001,43,3,1,100007,"corrected_2x_eta0",1e-05,2,4,2,-3.06805293513362,-2.37490575457367,-4.60517018598809,"lower",1630.13907041101,-424.696689095817,0,0,0,FALSE,0.090384998646721,0.0822513805225411,TRUE,158,0.835000000000008,"97, 283"
0.001,43,3,1,100007,"corrected_2x_eta0",1e-04,2,4,2,-3.06805293513362,-2.37490575457367,-2.30258509299405,"lower",1937.16130941634,-117.67445009049,0,0,0,FALSE,0.0891226698700091,0.0812348295705416,TRUE,151,0.958999999999996,"97, 283"
0.001,43,3,1,100007,"corrected_2x_eta0",0.001,2,4,2,-3.06805293513362,-2.37490575457367,0,"lower",2045.77554176304,-9.06021774378701,0,0,0,FALSE,0.0887380039760552,0.0809244301335643,TRUE,149,0.740000000000002,"97, 283"
0.001,43,3,1,100007,"corrected_2x_eta0",0.002,11.9444901358438,23.8889802716876,2,-1.28093002014292,-0.587782839582979,0.693147180559945,"interior",2054.83575950683,0,1,1,0.5,FALSE,0.50316426982093,0.052269377240926,TRUE,52,0.460999999999999,"97, 283"
