"true_lambda","true_eta0","r0_seed","replicate","seed","candidate_lambda","eta0_hat","log_eta0_error","log_lambda_error","eta0_boundary","lower_bound","elbo_below_best","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,20,3,3,100004,0.01,5.48642211541637,-1.29345593988336,2.30258509299405,"interior",1867.30676196072,-0.791716540232756,0,0,0,FALSE,0.0635906821000393,0.0551049636761869,TRUE,113,0.382,"231, 273"
0.001,20,3,3,100004,0.015,10.1828698251188,-0.675025393995338,2.70805020110221,"interior",1862.62054084869,-5.4779376522672,0,0,0,FALSE,0.170437602131199,0.108579788979705,TRUE,109,0.363999999999999,"231, 273"
0.001,20,3,3,100004,0.02,13.014636149739,-0.429657691722678,2.99573227355399,"interior",1856.58052741341,-11.5179510875425,0,0,0,FALSE,0.222543465702012,0.116880725049779,TRUE,91,0.311999999999998,"231, 273"
0.001,20,3,3,100004,0.025,15.3704648717603,-0.263284471063322,3.2188758248682,"interior",1850.25899112028,-17.8394873806744,0,0,0,FALSE,0.257644977908635,0.115916923593437,TRUE,78,0.262,"231, 273"
0.001,20,3,3,100004,0.03,17.5636814315464,-0.12989905859892,3.40119738166216,"interior",1843.99833922636,-24.1001392745957,0,0,0,FALSE,0.284974718352272,0.111677129485159,TRUE,64,0.218999999999998,"231, 273"
0.001,20,3,4,100005,1e-05,2,-2.30258509299405,-4.60517018598809,"lower",1332.71925062483,-494.837740091063,0,0,0,FALSE,0.0217636972834365,0.0180127232897794,TRUE,128,0.452999999999999,"238, 307"
0.001,20,3,4,100005,1e-04,2,-2.30258509299405,-2.30258509299405,"lower",1635.75649222024,-191.800498495654,0,0,0,FALSE,0.0217301976665099,0.0180021132988952,TRUE,116,0.404999999999998,"238, 307"
0.001,20,3,4,100005,0.001,2,-2.30258509299405,0,"lower",1765.11872200519,-62.4382687107043,0,0,0,FALSE,0.0217131111859392,0.0179970626658642,TRUE,112,0.394000000000002,"238, 307"
0.001,20,3,4,100005,0.003,2,-2.30258509299405,1.09861228866811,"lower",1804.69110928263,-22.8658814332632,0,0,0,FALSE,0.0217140739237563,0.0179969843240626,TRUE,111,0.391999999999999,"238, 307"
0.001,20,3,4,100005,0.005,2.33416805909799,-2.14807673752692,1.6094379124341,"interior",1817.64085164252,-9.91613907336773,0,0,0,FALSE,0.0239685200897827,0.0183522597557125,TRUE,110,0.373000000000001,"238, 307"
0.001,20,3,4,100005,0.008,3.94820208023592,-1.6224719678226,2.07944154167984,"interior",1825.13202500758,-2.42496570830758,0,0,0,FALSE,0.0382836932149397,0.0179244791299626,TRUE,110,0.375,"238, 307"
0.001,20,3,4,100005,0.01,11.655842744437,-0.539924696135333,2.30258509299405,"interior",1827.26022292068,-0.296767795215374,1,1,0.5,FALSE,0.222978640824237,0.00801893945630072,TRUE,300,1.018,"238, 307"
0.001,20,3,4,100005,0.015,15.0970699290478,-0.28123159299609,2.70805020110221,"interior",1827.55699071589,0,1,1,0.5,FALSE,0.242416226118727,0.00808329508345673,TRUE,104,0.355,"238, 307"
0.001,20,3,4,100005,0.02,17.9472097369753,-0.10829761711081,2.99573227355399,"interior",1824.65922599563,-2.89776472025937,1,1,0.5,FALSE,0.254830238012525,0.00821522592168511,TRUE,83,0.280999999999999,"238, 307"
0.001,20,3,4,100005,0.025,20.4660346663064,0.023034392957785,3.2188758248682,"interior",1820.41586700073,-7.14112371515762,1,1,0.5,FALSE,0.264495265275993,0.00840940463427586,TRUE,72,0.246000000000002,"238, 307"
0.001,20,3,4,100005,0.03,22.7651863387004,0.129500180514451,3.40119738166216,"interior",1815.55600677469,-12.000983941206,1,1,0.5,FALSE,0.272546602617089,0.00870146088278501,TRUE,63,0.213999999999999,"238, 307"
