method,true_L,finite_fits,multiplier,mean_log_ratio,SE_log_ratio,RMSE_after_stratum_multiplier,multiplier_CI_lower,multiplier_CI_upper
AIW-N,1,76,1.28807099764653,0.253145748559352,0.0603241490670294,0.522422455537268,1.14443425720452,1.44973543437159
AIW-N,2,77,1.39785379141397,0.334938054232143,0.0709127605198366,0.618203113826937,1.21646491709821,1.60628982776711
AIW-N,3,75,1.60656195125177,0.474096461700942,0.0644358545842447,0.554298179993533,1.41595212789437,1.82283090816644
collapsed-R,1,78,1.49034953217004,0.399010677795545,0.0784043082410279,0.687995012633134,1.27805352080565,1.73790979163322
collapsed-R,2,76,1.63659388825075,0.492617184685711,0.0974247333334275,0.843722940236729,1.35210779889421,1.98093639963485
collapsed-R,3,76,1.93892588718136,0.662134153344038,0.0880274149634148,0.762339775877916,1.63166410935976,2.30404871591935
