J,panel_seed,true_eta0,true_L,true_lambda,h2,N,N0,causal,maximum_abs_causal_ld,minimum_expected_abs_z,maximum_expected_abs_z,achieved_h2,method,raw_eta0,selected_lambda,selected_model_L,raw_pure_L,eta0_boundary,converged,fit_seconds,finite_eta0,log_ratio,log_J_centered,calibration_group
100,51,5000,3,0.001,0.001,200000,2000,25;46;92,0.102550842313654,3.46312140656814,10.9877417774763,0.001,AIW-N,Inf,0.004,5,3,normal_limit,TRUE,0.270000000000003,FALSE,-Inf,-1.6094379124341,100:51
100,52,20,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,AIW-N,27.0229977220473,0.01,1,1,interior,TRUE,0.577,TRUE,-0.300955997385505,-1.6094379124341,100:52
100,52,20,2,0.001,0.001,200000,2000,25;8,0.00340968349327409,8.24590040098971,11.5173975195789,0.001,AIW-N,17.0763931602471,0.01,1,1,interior,TRUE,0.389,TRUE,0.158035280781426,-1.6094379124341,100:52
100,52,20,3,0.001,0.001,200000,2000,25;8;90,0.00726130043871736,4.69022569744983,10.8993383633901,0.001,AIW-N,14.5496440030087,0.01,1,1,interior,TRUE,0.394,TRUE,0.318165747382983,-1.6094379124341,100:52
100,52,50,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,AIW-N,32.2424712144575,0.001,1,1,interior,TRUE,0.334,TRUE,0.43873844015472,-1.6094379124341,100:52
100,52,50,2,0.001,0.001,200000,2000,25;61,0.00431847335806067,8.18699189696438,11.495936201256,0.001,AIW-N,20.6849454895623,0.001,1,1,interior,TRUE,0.248000000000001,TRUE,0.882616840782334,-1.6094379124341,100:52
100,52,50,3,0.001,0.001,200000,2000,25;61;8,0.0434482192197275,4.96377085469974,10.9691127137826,0.001,AIW-N,19.44196168522,0.002,1,1,interior,TRUE,0.294000000000001,TRUE,0.944589301753359,-1.6094379124341,100:52
100,52,100,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,AIW-N,43.5422894519323,0.001,1,1,interior,TRUE,0.238000000000001,TRUE,0.831437548837143,-1.6094379124341,100:52
100,52,100,2,0.001,0.001,200000,2000,25;43,0.00769403337479173,8.27842062140731,11.5292938343529,0.001,AIW-N,13.9624940187385,1e-04,1,1,interior,TRUE,0.306000000000001,TRUE,1.96879544997328,-1.6094379124341,100:52
100,52,100,3,0.001,0.001,200000,2000,25;43;8,0.0402072518142409,4.06408193238178,10.9131638561163,0.001,AIW-N,12.4664838556047,1e-04,1,1,interior,TRUE,0.321999999999999,TRUE,2.08212643433216,-1.6094379124341,100:52
100,52,200,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,AIW-N,144.953697649333,0.002,1,1,interior,TRUE,0.207999999999998,TRUE,0.321903001679368,-1.6094379124341,100:52
100,52,200,2,0.001,0.001,200000,2000,25;86,0.0051621439143549,8.25921418693076,11.522263697162,0.001,AIW-N,106.391583759311,0.004,5,2,interior,TRUE,0.253,TRUE,0.631190892775538,-1.6094379124341,100:52
100,52,200,3,0.001,0.001,200000,2000,25;86;10,0.0442030241687705,5.32348857899709,10.8944136554371,0.001,AIW-N,92.2209152320492,0.004,2,2,interior,TRUE,0.257999999999999,TRUE,0.774130415376638,-1.6094379124341,100:52
100,52,500,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,AIW-N,398.233687438811,0.004,5,1,interior,TRUE,0.227,TRUE,0.227569111076564,-1.6094379124341,100:52
100,52,500,2,0.001,0.001,200000,2000,25;57,0.00984844363929161,8.14464107315293,11.4805776140528,0.001,AIW-N,406.315793386343,0.002,5,2,interior,TRUE,0.286000000000001,TRUE,0.207477424940209,-1.6094379124341,100:52
100,52,500,3,0.001,0.001,200000,2000,25;57;10,0.0603385412040658,4.98339489062554,11.0277235342038,0.001,AIW-N,404.381469063211,0.002,5,3,interior,TRUE,0.294999999999998,TRUE,0.212249435611622,-1.6094379124341,100:52
100,52,1000,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,AIW-N,657.54228683006,0.001,5,1,interior,TRUE,0.227,TRUE,0.419246202427877,-1.6094379124341,100:52
100,52,1000,2,0.001,0.001,200000,2000,25;45,0.0269149595844805,8.01287587531423,11.4331727298242,0.001,AIW-N,521.502069786155,0.001,4,2,interior,TRUE,0.250999999999998,TRUE,0.651042035639972,-1.6094379124341,100:52
100,52,1000,3,0.001,0.001,200000,2000,25;45;83,0.0439728466465086,4.74362211004435,10.9345674609158,0.001,AIW-N,447.781281018719,0.001,5,2,interior,TRUE,0.233999999999995,TRUE,0.803450377793227,-1.6094379124341,100:52
100,52,2000,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,AIW-N,708.345658906778,0.001,1,1,interior,TRUE,0.225000000000001,TRUE,1.0379702661935,-1.6094379124341,100:52
100,52,2000,2,0.001,0.001,200000,2000,25;45,0.00698120000611051,8.16662039548162,11.4885410674781,0.001,AIW-N,306.13523086238,0.001,4,2,interior,TRUE,0.295000000000002,TRUE,1.8768755242896,-1.6094379124341,100:52
100,52,2000,3,0.001,0.001,200000,2000,25;45;61,0.0709660570399556,5.51134209890412,10.9321285898907,0.001,AIW-N,895.349877525359,0.001,5,3,interior,TRUE,0.401000000000003,TRUE,0.803687893049004,-1.6094379124341,100:52
100,52,5000,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,AIW-N,Inf,0.001,1,1,normal_limit,TRUE,0.229000000000006,FALSE,-Inf,-1.6094379124341,100:52
100,52,5000,2,0.001,0.001,200000,2000,25;45,0.00865667183709935,8.15378224140373,11.4838876665915,0.001,AIW-N,Inf,0.001,2,2,normal_limit,TRUE,0.264000000000003,FALSE,-Inf,-1.6094379124341,100:52
100,52,5000,3,0.001,0.001,200000,2000,25;45;61,0.0518844595232308,5.16068253546249,10.9405869928021,0.001,AIW-N,Inf,0.001,3,3,normal_limit,TRUE,0.290999999999997,FALSE,-Inf,-1.6094379124341,100:52
250,51,20,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,23.6060847216017,0.006,1,1,interior,TRUE,0.727,TRUE,-0.165772232432369,-0.693147180559945,250:51
250,51,20,2,0.001,0.001,200000,2000,62;118,0.00122220226765031,8.21063202974358,11.5045350048351,0.001,AIW-N,19.2800666318855,0.01,1,1,interior,TRUE,0.598999999999999,TRUE,0.0366605283669044,-0.693147180559945,250:51
250,51,20,3,0.001,0.001,200000,2000,62;118;184,0.0162380915403073,4.88236962441629,10.8743263873022,0.001,AIW-N,21.647929085581,0.01,1,1,interior,TRUE,0.563,TRUE,-0.0791775220736675,-0.693147180559945,250:51
250,51,50,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,34.3122834431765,0.001,1,1,interior,TRUE,0.581999999999999,TRUE,0.376519597488287,-0.693147180559945,250:51
250,51,50,2,0.001,0.001,200000,2000,62;139,0.000399746845792192,8.21690281912797,11.506819006239,0.001,AIW-N,26.1940399937998,0.004,1,1,interior,TRUE,0.554,TRUE,0.646491101691536,-0.693147180559945,250:51
250,51,50,3,0.001,0.001,200000,2000,62;139;209,0.0150338960532022,4.72136027796955,10.8274539306114,0.001,AIW-N,22.2771871369021,0.004,1,1,interior,TRUE,0.502999999999998,TRUE,0.808459848927216,-0.693147180559945,250:51
250,51,100,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,175.210028890802,0.006,5,2,interior,TRUE,0.569000000000001,TRUE,-0.560815233403317,-0.693147180559945,250:51
250,51,100,2,0.001,0.001,200000,2000,62;102,0.000803998887220095,8.22607419487976,11.510161807132,0.001,AIW-N,93.9040023812714,0.008,2,2,interior,TRUE,0.656000000000001,TRUE,0.0628971768135411,-0.693147180559945,250:51
250,51,100,3,0.001,0.001,200000,2000,62;102;185,0.0285342637637114,4.99197660137971,10.9052897311597,0.001,AIW-N,118.517646602199,0.008,3,3,interior,TRUE,0.516,TRUE,-0.169891679974389,-0.693147180559945,250:51
