method,estimation_stage,J,h2,true_eta0,fits,finite_fits,finite_frequency,normal_limit_frequency,optimization_boundary_frequency,convergence_frequency,median_raw_eta0
AIW-N,selected_lambda_oracle_L,500,0.005,100,2,2,1,0,0,1,80.5690192079402
collapsed-R,actual_selection,500,0.005,100,2,2,1,0,0,1,63.8842614131749
collapsed-R,oracle_lambda,500,0.005,100,2,2,1,0,0,1,6.35379367232437
AIW-N,actual_selection,500,2e-04,200,2,2,1,0,0,1,167.695732220545
AIW-N,oracle_lambda_oracle_L,500,2e-04,200,2,2,1,0,0,1,92.4145593363064
AIW-N,selected_lambda_oracle_L,500,2e-04,200,2,2,1,0,0,1,109.263775771949
collapsed-R,actual_selection,500,2e-04,200,2,2,1,0,0,1,95.141855770975
collapsed-R,oracle_lambda,500,2e-04,200,2,2,1,0,0,1,81.760998272937
AIW-N,actual_selection,500,0.001,200,2,2,1,0,0,1,87.9160377745293
AIW-N,oracle_lambda_oracle_L,500,0.001,200,2,2,1,0,0,1,76.9529034699363
AIW-N,selected_lambda_oracle_L,500,0.001,200,2,2,1,0,0,1,109.33305683728
collapsed-R,actual_selection,500,0.001,200,2,2,1,0,0,1,86.5677572268249
collapsed-R,oracle_lambda,500,0.001,200,2,2,1,0,0,1,58.5561705557183
AIW-N,actual_selection,500,0.005,200,2,2,1,0,0,1,143.071235375991
AIW-N,oracle_lambda_oracle_L,500,0.005,200,2,2,1,0,0,1,81.747146921182
AIW-N,selected_lambda_oracle_L,500,0.005,200,2,2,1,0,0,1,143.071235375991
collapsed-R,actual_selection,500,0.005,200,2,2,1,0,0,1,100.096265406879
collapsed-R,oracle_lambda,500,0.005,200,2,2,1,0,0,1,58.7631873779967
AIW-N,actual_selection,500,2e-04,500,2,1,0.5,0.5,0,1,266.043705365868
AIW-N,oracle_lambda_oracle_L,500,2e-04,500,2,2,1,0,0,1,229.684263535029
AIW-N,selected_lambda_oracle_L,500,2e-04,500,2,1,0.5,0.5,0,1,266.043705365868
collapsed-R,actual_selection,500,2e-04,500,2,2,1,0,0,1,500276.676376834
collapsed-R,oracle_lambda,500,2e-04,500,2,2,1,0,0,1,360.40935099314
AIW-N,actual_selection,500,0.001,500,2,2,1,0,0,1,393.482613188134
AIW-N,oracle_lambda_oracle_L,500,0.001,500,2,2,1,0,0,1,267.048943430963
AIW-N,selected_lambda_oracle_L,500,0.001,500,2,2,1,0,0,1,365.391454378958
collapsed-R,actual_selection,500,0.001,500,2,2,1,0,0,1,340.686467525192
collapsed-R,oracle_lambda,500,0.001,500,2,2,1,0,0,1,251.767790978271
AIW-N,actual_selection,500,0.005,500,2,2,1,0,0,1,457.796579338833
AIW-N,oracle_lambda_oracle_L,500,0.005,500,2,2,1,0,0,1,283.38734606065
AIW-N,selected_lambda_oracle_L,500,0.005,500,2,2,1,0,0,1,423.503824628866
collapsed-R,actual_selection,500,0.005,500,2,2,1,0,0,1,558.658268971176
collapsed-R,oracle_lambda,500,0.005,500,2,2,1,0,0,1,218.090629765013
AIW-N,actual_selection,500,2e-04,1000,2,2,1,0,0,1,445.994563834502
AIW-N,oracle_lambda_oracle_L,500,2e-04,1000,2,2,1,0,0,1,309.019535335607
AIW-N,selected_lambda_oracle_L,500,2e-04,1000,2,2,1,0,0,1,309.019535335607
collapsed-R,actual_selection,500,2e-04,1000,2,2,1,0,0,1,293.385265384644
collapsed-R,oracle_lambda,500,2e-04,1000,2,2,1,0,0,1,293.385265384644
AIW-N,actual_selection,500,0.001,1000,2,2,1,0,0,1,996.05940984422
AIW-N,oracle_lambda_oracle_L,500,0.001,1000,2,2,1,0,0,1,461.803842865692
AIW-N,selected_lambda_oracle_L,500,0.001,1000,2,2,1,0,0,1,775.577438314857
collapsed-R,actual_selection,500,0.001,1000,2,2,1,0,0,1,432.195746135981
collapsed-R,oracle_lambda,500,0.001,1000,2,2,1,0,0,1,432.195746135981
AIW-N,actual_selection,500,0.005,1000,2,2,1,0,0,1,674.958794630025
AIW-N,oracle_lambda_oracle_L,500,0.005,1000,2,2,1,0,0,1,541.135140156331
AIW-N,selected_lambda_oracle_L,500,0.005,1000,2,2,1,0,0,1,674.958794630025
collapsed-R,actual_selection,500,0.005,1000,2,2,1,0,0,1,675.798409630014
collapsed-R,oracle_lambda,500,0.005,1000,2,2,1,0,0,1,539.947342888408
