"true_lambda","true_eta0","r0_seed","replicate","seed","fit_type","selected_lambda","eta0_hat","log_eta0_error","log_lambda_error","eta0_boundary","lambda_boundary","lower_bound","elbo_gain_over_oracle","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,95,3,3,100014,"oracle_lambda",0.001,22.1968163996369,-1.45392801842761,0,"interior","interior",2148.95692753397,0,1,1,0.5,FALSE,0.270859209389877,0.00806058055011927,TRUE,83,0.288000000000004,"330, 497"
0.001,95,3,4,100015,"joint_lambda_eta0",0.003,68.3834504413682,-0.328746048858867,1.09861228866811,"interior","interior",2247.03520203291,7.31900665941384,1,1,0.5,FALSE,0.411096644655349,0.368391839487867,TRUE,127,0.433,"265, 292"
0.001,95,3,4,100015,"oracle_lambda",0.001,25.7035797425092,-1.30724661980746,0,"interior","interior",2239.7161953735,0,1,1,0.5,FALSE,0.186345805038946,0.00896347606938375,TRUE,65,0.225999999999999,"265, 292"
0.001,95,3,5,100016,"joint_lambda_eta0",0.003,51.4107169656878,-0.61403023959482,1.09861228866811,"interior","interior",2252.47761320954,18.9077848059974,1,1,0.5,FALSE,0.415998422420835,0.0472672318088104,TRUE,60,0.213999999999999,"71, 260"
0.001,95,3,5,100016,"oracle_lambda",0.001,25.3656552413556,-1.32048078841581,0,"interior","interior",2233.56982840354,0,1,1,0.5,FALSE,0.346360394108331,0.00879522855841441,TRUE,60,0.211999999999996,"71, 260"
0.001,206,3,1,100017,"joint_lambda_eta0",0.005,282.631229962027,0.316266804774901,1.6094379124341,"interior","interior",2399.82949968137,54.5548532427961,2,1,1,TRUE,0.778253191973691,0.556506800777504,TRUE,82,0.271999999999998,"72, 351"
0.001,206,3,1,100017,"oracle_lambda",0.001,59.3315202605564,-1.24473546503885,0,"interior","interior",2345.27464643857,0,1,1,0.5,FALSE,0.503872774483752,0.00898809067093542,TRUE,70,0.236000000000004,"72, 351"
0.001,206,3,2,100018,"joint_lambda_eta0",0.001,96.6656530354324,-0.756618020372502,0,"interior","interior",2454.16198953682,0,1,1,0.5,FALSE,0.47701632340825,0.0104056892180394,TRUE,62,0.218000000000004,"45, 145"
0.001,206,3,2,100018,"oracle_lambda",0.001,96.6656530354324,-0.756618020372502,0,"interior","interior",2454.16198953682,0,1,1,0.5,FALSE,0.47701632340825,0.0104056892180394,TRUE,62,0.218000000000004,"45, 145"
0.001,206,3,3,100019,"joint_lambda_eta0",0.001,138.52123051688,-0.396852565979194,0,"interior","interior",2478.71869311923,0,1,1,0.5,FALSE,0.257255753535376,0.00912774492970292,TRUE,45,0.150999999999996,"96, 161"
0.001,206,3,3,100019,"oracle_lambda",0.001,138.52123051688,-0.396852565979194,0,"interior","interior",2478.71869311923,0,1,1,0.5,FALSE,0.257255753535376,0.00912774492970292,TRUE,45,0.150999999999996,"96, 161"
0.001,206,3,4,100020,"joint_lambda_eta0",0.001,86.1218653498911,-0.872112836636084,0,"interior","interior",2429.85665440412,0,1,1,0.5,FALSE,0.504834338471593,0.00966939930359345,TRUE,67,0.234999999999999,"62, 367"
0.001,206,3,4,100020,"oracle_lambda",0.001,86.1218653498911,-0.872112836636084,0,"interior","interior",2429.85665440412,0,1,1,0.5,FALSE,0.504834338471593,0.00966939930359345,TRUE,67,0.234999999999999,"62, 367"
0.001,206,3,5,100021,"joint_lambda_eta0",0.003,252.601391664184,0.203936550471032,1.09861228866811,"interior","interior",2462.8443010077,18.0848296586682,2,1,1,TRUE,0.636573074254939,0.273667752075585,TRUE,67,0.225999999999999,"111, 336"
0.001,206,3,5,100021,"oracle_lambda",0.001,75.8714461772007,-0.99883575836911,0,"interior","interior",2444.75947134903,0,1,1,0.5,FALSE,0.128729277655848,0.0260586222798943,TRUE,21,0.0690000000000026,"111, 336"
0.001,447,3,1,100022,"joint_lambda_eta0",0.003,1470.30386598433,1.19066577535129,1.09861228866811,"interior","interior",2566.27086359331,5.2106020340234,2,1,1,TRUE,0.999617208506872,0.999510580210358,TRUE,69,0.236999999999995,"111, 195"
0.001,447,3,1,100022,"oracle_lambda",0.001,283.920489028444,-0.453864363860483,0,"interior","interior",2561.06026155928,0,2,1,1,TRUE,0.99329120491482,0.991219379935296,TRUE,84,0.284000000000006,"111, 195"
0.001,447,3,2,100023,"joint_lambda_eta0",0.003,454.986415064865,0.0177089668913544,1.09861228866811,"interior","interior",2510.41661844535,19.1352412311467,2,1,1,TRUE,0.68338958322475,0.395249848772231,TRUE,78,0.260000000000005,"93, 374"
0.001,447,3,2,100023,"oracle_lambda",0.001,136.591533269716,-1.18556363131793,0,"interior","interior",2491.28137721421,0,1,1,0.5,FALSE,0.497124976589493,0.33965743013966,TRUE,126,0.445999999999998,"93, 374"
0.001,447,3,3,100024,"joint_lambda_eta0",0.003,551.479995300832,0.210046970168846,1.09861228866811,"interior","interior",2503.19784670878,7.84821524696099,2,1,1,TRUE,0.999771483959741,0.999542972351741,TRUE,69,0.234000000000009,"54, 321"
0.001,447,3,3,100024,"oracle_lambda",0.001,170.117153259154,-0.966071258090495,0,"interior","interior",2495.34963146182,0,1,1,0.5,FALSE,0.509968939825113,0.0199486201947063,TRUE,36,0.122,"54, 321"
0.001,447,3,4,100025,"joint_lambda_eta0",0.003,383.012814584892,-0.154490147546452,1.09861228866811,"interior","interior",2496.48243900584,22.5390716932579,1,1,0.5,FALSE,0.906652915116271,0.813305924507576,TRUE,45,0.149999999999991,"167, 351"
0.001,447,3,4,100025,"oracle_lambda",0.001,115.383242695464,-1.35429946169488,0,"interior","interior",2473.94336731258,0,1,1,0.5,FALSE,0.509280387864042,0.0185982859314656,TRUE,19,0.0640000000000072,"167, 351"
0.001,447,3,5,100026,"joint_lambda_eta0",0.003,506.90858715739,0.125772091256636,1.09861228866811,"interior","interior",2522.77081222263,2.05407299766057,2,1,1,TRUE,0.664569010021236,0.621335451741944,TRUE,61,0.207999999999998,"201, 385"
0.001,447,3,5,100026,"oracle_lambda",0.001,181.954044725161,-0.898804440930753,0,"interior","interior",2520.71673922497,0,2,1,1,TRUE,0.567192408511068,0.528709187328136,TRUE,89,0.304000000000002,"201, 385"
0.001,972,3,1,100027,"joint_lambda_eta0",0.001,527.893727536389,-0.610460814617753,0,"interior","interior",2604.40118100987,0,2,1,1,TRUE,0.697063717305323,0.394128273239392,TRUE,69,0.233999999999995,"88, 133"
0.001,972,3,1,100027,"oracle_lambda",0.001,527.893727536389,-0.610460814617753,0,"interior","interior",2604.40118100987,0,2,1,1,TRUE,0.697063717305323,0.394128273239392,TRUE,69,0.233999999999995,"88, 133"
0.001,972,3,2,100028,"joint_lambda_eta0",0.001,635.452096962373,-0.425019095173413,0,"interior","interior",2634.25726978896,0,1,1,0.5,FALSE,0.505149340165424,0.0102986803608127,TRUE,53,0.176000000000002,"143, 494"
0.001,972,3,2,100028,"oracle_lambda",0.001,635.452096962373,-0.425019095173413,0,"interior","interior",2634.25726978896,0,1,1,0.5,FALSE,0.505149340165424,0.0102986803608127,TRUE,53,0.176000000000002,"143, 494"
0.001,972,3,3,100029,"joint_lambda_eta0",0.001,489.334293061493,-0.686309922658682,0,"interior","interior",2602.59963147674,0,2,1,1,TRUE,0.64807251434502,0.331205202445847,TRUE,70,0.236999999999995,"67, 239"
0.001,972,3,3,100029,"oracle_lambda",0.001,489.334293061493,-0.686309922658682,0,"interior","interior",2602.59963147674,0,2,1,1,TRUE,0.64807251434502,0.331205202445847,TRUE,70,0.236999999999995,"67, 239"
0.001,972,3,4,100030,"joint_lambda_eta0",0.003,9266.28482580653,2.25478199985298,1.09861228866811,"interior","interior",2592.46509155941,15.3228393850568,2,1,1,TRUE,0.265323480550439,0.135168980146102,TRUE,67,0.519000000000005,"102, 347"
0.001,972,3,4,100030,"oracle_lambda",0.001,389.558857622695,-0.914340839852758,0,"interior","interior",2577.14225217436,0,2,1,1,TRUE,0.29869859144962,0.165455866745042,TRUE,75,0.250999999999991,"102, 347"
0.001,972,3,5,100031,"joint_lambda_eta0",0.001,603.962124591912,-0.475844316121115,0,"interior","interior",2610.71471307573,0,2,1,1,TRUE,0.717125116637852,0.434250267282615,TRUE,72,0.244,"162, 275"
0.001,972,3,5,100031,"oracle_lambda",0.001,603.962124591912,-0.475844316121115,0,"interior","interior",2610.71471307573,0,2,1,1,TRUE,0.717125116637852,0.434250267282615,TRUE,72,0.244,"162, 275"
0.001,2115,3,1,100032,"joint_lambda_eta0",0.001,1242.98752547682,-0.531537035839154,0,"interior","interior",2654.08472402452,0,2,1,1,TRUE,0.791718576566366,0.675500640521207,TRUE,72,0.247000000000014,"163, 461"
0.001,2115,3,1,100032,"oracle_lambda",0.001,1242.98752547682,-0.531537035839154,0,"interior","interior",2654.08472402452,0,2,1,1,TRUE,0.791718576566366,0.675500640521207,TRUE,72,0.247000000000014,"163, 461"
0.001,2115,3,2,100033,"joint_lambda_eta0",0.001,1505.02160499031,-0.340247558925154,0,"interior","interior",2660.61822422937,0,2,1,1,TRUE,0.632677103331669,0.265375812969042,TRUE,70,0.239999999999981,"269, 446"
0.001,2115,3,2,100033,"oracle_lambda",0.001,1505.02160499031,-0.340247558925154,0,"interior","interior",2660.61822422937,0,2,1,1,TRUE,0.632677103331669,0.265375812969042,TRUE,70,0.239999999999981,"269, 446"
0.001,2115,3,3,100034,"joint_lambda_eta0",0.001,590.57480354186,-1.27571378555631,0,"interior","interior",2626.24410896774,0,2,1,1,TRUE,0.532734609537014,0.0674294195450827,TRUE,69,0.252999999999986,"126, 313"
0.001,2115,3,3,100034,"oracle_lambda",0.001,590.57480354186,-1.27571378555631,0,"interior","interior",2626.24410896774,0,2,1,1,TRUE,0.532734609537014,0.0674294195450827,TRUE,69,0.252999999999986,"126, 313"
0.001,2115,3,4,100035,"joint_lambda_eta0",0.001,988.636291874858,-0.760483580908216,0,"interior","interior",2639.32528924291,0,2,1,1,TRUE,0.830755737837485,0.671400410909617,TRUE,76,0.263000000000005,"256, 307"
0.001,2115,3,4,100035,"oracle_lambda",0.001,988.636291874858,-0.760483580908216,0,"interior","interior",2639.32528924291,0,2,1,1,TRUE,0.830755737837485,0.671400410909617,TRUE,76,0.263000000000005,"256, 307"
0.001,2115,3,5,100036,"joint_lambda_eta0",0.001,1079.93590865007,-0.672153116965553,0,"interior","interior",2650.87042877867,0,1,1,0.5,FALSE,0.794245103504466,0.635046549080945,TRUE,77,0.26600000000002,"289, 413"
0.001,2115,3,5,100036,"oracle_lambda",0.001,1079.93590865007,-0.672153116965553,0,"interior","interior",2650.87042877867,0,1,1,0.5,FALSE,0.794245103504466,0.635046549080945,TRUE,77,0.26600000000002,"289, 413"
0.001,4599,3,1,100037,"joint_lambda_eta0",0.001,1094.50001392732,-1.43554123785218,0,"interior","interior",2658.11907166049,0,2,1,1,TRUE,0.531646163651148,0.0966262680257683,TRUE,57,0.207999999999998,"76, 336"
0.001,4599,3,1,100037,"oracle_lambda",0.001,1094.50001392732,-1.43554123785218,0,"interior","interior",2658.11907166049,0,2,1,1,TRUE,0.531646163651148,0.0966262680257683,TRUE,57,0.207999999999998,"76, 336"
0.001,4599,3,2,100038,"joint_lambda_eta0",0.001,1136.3547728224,-1.39801331699461,0,"interior","interior",2653.50452747626,0,2,1,1,TRUE,0.614619928338134,0.272053163363751,TRUE,62,0.217999999999989,"165, 336"
0.001,4599,3,2,100038,"oracle_lambda",0.001,1136.3547728224,-1.39801331699461,0,"interior","interior",2653.50452747626,0,2,1,1,TRUE,0.614619928338134,0.272053163363751,TRUE,62,0.217999999999989,"165, 336"
0.001,4599,3,3,100039,"joint_lambda_eta0",0.001,1429.23302753523,-1.16870093255103,0,"interior","interior",2649.10325888611,0,2,0.5,0.5,FALSE,0.256637315557784,0.0329625667693487,TRUE,43,0.148999999999972,"288, 366"
0.001,4599,3,3,100039,"oracle_lambda",0.001,1429.23302753523,-1.16870093255103,0,"interior","interior",2649.10325888611,0,2,0.5,0.5,FALSE,0.256637315557784,0.0329625667693487,TRUE,43,0.148999999999972,"288, 366"
0.001,4599,3,4,100040,"joint_lambda_eta0",0.001,20000,1.4698933849962,0,"upper","interior",2699.03385094007,0,2,1,1,TRUE,0.331385510156426,0.185210764405294,TRUE,63,0.929999999999978,"77, 379"
