"true_lambda","true_eta0","r0_seed","replicate","seed","fit_type","selected_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lambda_boundary","lower_bound","elbo_gain_over_matching_oracle","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,20,3,3,100004,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28308.637209939,NA,2,1,1,TRUE,0.63382425450514,0.267654770244867,TRUE,16,0.0469999999999988,"231, 273"
0.001,20,3,3,100004,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28227.3371478473,NA,5,0.2,0.5,FALSE,0.500000016485433,3.38816642520001e-08,TRUE,7,0.0199999999999996,"231, 273"
0.001,20,3,4,100005,"joint_lambda_calibrated_eta0",0.01,11.655842744437,17.9150302981997,1.537,-0.539924696135333,-0.110092231578875,2.30258509299405,"interior","upper",1826.74315651557,62.0351914479331,1,1,0.5,FALSE,0.254479798442192,0.00817202657536642,TRUE,81,1.278,"238, 307"
0.001,20,3,4,100005,"joint_lambda_profiled_eta0",0.01,11.655842744437,11.655842744437,1,-0.539924696135333,-0.539924696135333,2.30258509299405,"interior","upper",1827.26022292068,62.1415009154889,1,1,0.5,FALSE,0.222978640824237,0.00801893945630072,TRUE,300,1.186,"238, 307"
0.001,20,3,4,100005,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28284.290186212,NA,2,1,1,TRUE,0.903390102825454,0.808484467904961,TRUE,4,0.0169999999999995,"238, 307"
0.001,20,3,4,100005,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28203.3700767118,NA,4,0.5,1,TRUE,0.969577287974062,0.939225424735763,TRUE,9,0.0259999999999998,"238, 307"
0.001,20,3,5,100006,"joint_lambda_calibrated_eta0",0.01,19.2937780860799,29.6545369183048,1.537,-0.0359496085780107,0.393882855978448,2.30258509299405,"interior","upper",1870.7052866336,66.0890228797812,1,1,0.5,FALSE,0.184120564824384,0.00793256998254821,TRUE,62,0.425000000000004,"189, 233"
0.001,20,3,5,100006,"joint_lambda_profiled_eta0",0.01,19.2937780860799,19.2937780860799,1,-0.0359496085780107,-0.0359496085780107,2.30258509299405,"interior","upper",1871.57750675562,66.6523361897905,1,1,0.5,FALSE,0.158862325491274,0.00793704994476241,TRUE,90,0.354000000000006,"189, 233"
0.001,20,3,5,100006,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28279.6719621945,NA,1,1,0.5,FALSE,0.530810951832621,0.086285099221048,TRUE,7,0.0289999999999999,"189, 233"
0.001,20,3,5,100006,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28186.1992157922,NA,5,0.2,0.5,FALSE,0.4990680594467,5.55111512312578e-16,TRUE,8,0.0229999999999997,"189, 233"
0.001,43,3,1,100007,"joint_lambda_calibrated_eta0",0.004,17.1663213464378,26.384635909475,1.537,-0.91825071263579,-0.488418248079332,1.38629436111989,"interior","interior",2055.84793094837,10.0030752359653,1,1,0.5,FALSE,0.503918780318954,0.043413254607245,TRUE,46,0.343000000000004,"97, 283"
0.001,43,3,1,100007,"joint_lambda_profiled_eta0",0.004,17.1663213464378,17.1663213464378,1,-0.91825071263579,-0.91825071263579,1.38629436111989,"interior","interior",2056.51788108504,10.5962447130391,0,0,0,FALSE,0.498312199178694,0.0942624029715263,TRUE,75,0.289999999999999,"97, 283"
0.001,43,3,1,100007,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28293.0312849163,NA,2,1,1,TRUE,0.999999999568825,0.999999999137671,TRUE,4,0.0319999999999965,"97, 283"
0.001,43,3,1,100007,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28253.3861553709,NA,4,0.5,1,TRUE,0.999999807502273,0.999999615004545,TRUE,10,0.027000000000001,"97, 283"
