"estimated_eta0","eta0_used","selected_lambda","reported_L","true_sets","false_sets","causal_power","all_causal_covered","fallback","converged","true_eta0","replication","method","causal_LD","expected_z_stronger","expected_z_weaker"
1.0403195947618,1.0403195947618,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,1,"Null posterior-mean R",0.00179592212138618,11.5129163185448,8.23362584948564
6.057748114175,10.1588435874715,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,25,1,"collapsed-R",0.00179592212138618,11.5129163185448,8.23362584948564
11.8955971348711,16.9393303200565,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,25,1,"AIW-N",0.00179592212138618,11.5129163185448,8.23362584948564
0.929081275291101,0.929081275291101,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,2,"Null posterior-mean R",0.00156339342280745,11.5122706051235,8.23185604780338
7.24384014952724,12.1479199307572,0.006,1,1,0,0.5,FALSE,TRUE,TRUE,25,2,"collapsed-R",0.00156339342280745,11.5122706051235,8.23185604780338
15.3149026419903,21.8084213621942,0.006,1,1,0,0.5,FALSE,TRUE,TRUE,25,2,"AIW-N",0.00156339342280745,11.5122706051235,8.23185604780338
0.748277107368484,0.748277107368484,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,3,"Null posterior-mean R",-0.00383813671928797,11.4972701968845,8.19066267655629
2.18550268581074,3.66508800410461,0.002,1,1,0,0.5,FALSE,TRUE,TRUE,25,3,"collapsed-R",-0.00383813671928797,11.4972701968845,8.19066267655629
6.52861177047236,9.29674316115265,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,25,3,"AIW-N",-0.00383813671928797,11.4972701968845,8.19066267655629
1.24766002358394,1.24766002358394,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,4,"Null posterior-mean R",-1.93837296307851e-05,11.5078752825557,8.21980165800591
11.321336494101,18.9858813006074,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,25,4,"collapsed-R",-1.93837296307851e-05,11.5078752825557,8.21980165800591
12.231471285422,17.4176151104409,0.002,1,1,0,0.5,FALSE,TRUE,TRUE,25,4,"AIW-N",-1.93837296307851e-05,11.5078752825557,8.21980165800591
0.874519643686209,0.874519643686209,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,5,"Null posterior-mean R",0.00108028852874563,11.5109290523202,8.22817815735638
5.88372412753612,9.86700536187808,0.006,1,1,0,0.5,FALSE,TRUE,TRUE,25,5,"collapsed-R",0.00108028852874563,11.5109290523202,8.22817815735638
14.8327940575322,21.1218987379258,0.008,1,1,0,0.5,FALSE,TRUE,TRUE,25,5,"AIW-N",0.00108028852874563,11.5109290523202,8.22817815735638
0.865631026374013,0.865631026374013,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,6,"Null posterior-mean R",-0.00142388921035868,11.5039749044789,8.20909371743581
3.80320713868605,6.37797837157651,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,25,6,"collapsed-R",-0.00142388921035868,11.5039749044789,8.20909371743581
8.72560698976135,12.4252643534202,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,25,6,"AIW-N",-0.00142388921035868,11.5039749044789,8.20909371743581
0.873742684243721,0.873742684243721,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,7,"Null posterior-mean R",-0.000156428979521321,11.5074947059053,8.21875729271882
2.34923640936459,3.93966945850441,0.002,1,1,0,0.5,FALSE,TRUE,TRUE,25,7,"collapsed-R",-0.000156428979521321,11.5074947059053,8.21875729271882
11.778596821882,16.7727218743599,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,25,7,"AIW-N",-0.000156428979521321,11.5074947059053,8.21875729271882
0.855992611478529,0.855992611478529,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,8,"Null posterior-mean R",0.00142054180795587,11.5118739162414,8.23076864480728
5.83423058769934,9.78400469557179,0.006,1,1,0,0.5,FALSE,TRUE,TRUE,25,8,"collapsed-R",0.00142054180795587,11.5118739162414,8.23076864480728
11.8556731562282,16.8824785744689,0.006,1,1,0,0.5,FALSE,TRUE,TRUE,25,8,"AIW-N",0.00142054180795587,11.5118739162414,8.23076864480728
1.16769858016279,1.16769858016279,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,9,"Null posterior-mean R",-0.00128690578619813,11.5043553183449,8.21013854510584
14.4070620095399,24.1606429899985,0.006,1,1,0,0.5,FALSE,TRUE,TRUE,25,9,"collapsed-R",-0.00128690578619813,11.5043553183449,8.21013854510584
23.0067198865645,32.7615691184679,0.006,1,1,0,0.5,FALSE,TRUE,TRUE,25,9,"AIW-N",-0.00128690578619813,11.5043553183449,8.21013854510584
0.772302180911051,0.772302180911051,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,10,"Null posterior-mean R",0.000445730393525294,11.5091669038555,8.22334534899105
5.30901015191033,8.90321002475362,0.006,1,1,0,0.5,FALSE,TRUE,TRUE,25,10,"collapsed-R",0.000445730393525294,11.5091669038555,8.22334534899105
10.775578658826,15.3444240101683,0.006,1,1,0,0.5,FALSE,TRUE,TRUE,25,10,"AIW-N",0.000445730393525294,11.5091669038555,8.22334534899105
1.61015629905369,1.61015629905369,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,11,"Null posterior-mean R",0.00100602072931697,11.5107228140439,8.22761264373997
16.9771542667183,28.4706877052866,0.008,1,1,0,0.5,FALSE,TRUE,TRUE,25,11,"collapsed-R",0.00100602072931697,11.5107228140439,8.22761264373997
21.3152107931811,30.3528601694899,0.008,1,1,0,0.5,FALSE,TRUE,TRUE,25,11,"AIW-N",0.00100602072931697,11.5107228140439,8.22761264373997
1.11218606503481,1.11218606503481,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,12,"Null posterior-mean R",0.00318276985805525,11.5167674195622,8.24417529657933
7.48199555985304,12.5473065538736,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,25,12,"collapsed-R",0.00318276985805525,11.5167674195622,8.24417529657933
17.6628671526058,25.1519228253107,0.006,1,1,0,0.5,FALSE,TRUE,TRUE,25,12,"AIW-N",0.00318276985805525,11.5167674195622,8.24417529657933
0.718240454381394,0.718240454381394,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,13,"Null posterior-mean R",0.000962052780240107,11.5106007169226,8.22727783499886
2.29569770052342,3.84988504377778,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,25,13,"collapsed-R",0.000962052780240107,11.5106007169226,8.22727783499886
5.73585918991925,8.16786348644501,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,25,13,"AIW-N",0.000962052780240107,11.5106007169226,8.22727783499886
1.24440920649218,1.24440920649218,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,14,"Null posterior-mean R",0.00147573046642979,11.5120271713957,8.23118876020384
3.51228256221333,5.89009785683175,0.002,1,1,0,0.5,FALSE,TRUE,TRUE,25,14,"collapsed-R",0.00147573046642979,11.5120271713957,8.23118876020384
12.1845770118904,17.3508376649319,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,25,14,"AIW-N",0.00147573046642979,11.5120271713957,8.23118876020384
0.766705503332294,0.766705503332294,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,15,"Null posterior-mean R",0.00356289062863597,11.5178229476642,8.24706499849058
5.4424915009452,9.12705824708509,0.008,1,1,0,0.5,FALSE,TRUE,TRUE,25,15,"collapsed-R",0.00356289062863597,11.5178229476642,8.24706499849058
7.45161549215812,10.6111004608332,0.006,1,1,0,0.5,FALSE,TRUE,TRUE,25,15,"AIW-N",0.00356289062863597,11.5178229476642,8.24706499849058
1.38996750658095,1.38996750658095,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,16,"Null posterior-mean R",-0.0012365534560481,11.5044951505342,8.21052257719222
13.366921088346,22.4163266651562,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,25,16,"collapsed-R",-0.0012365534560481,11.5044951505342,8.21052257719222
22.6156162171201,32.204637493179,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,25,16,"AIW-N",-0.0012365534560481,11.5044951505342,8.21052257719222
1.98911361231569,1.98911361231569,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,17,"Null posterior-mean R",5.4690118502987e-05,11.508080986298,8.22036610224272
17.4090600616581,29.1949937234006,0.002,1,1,0,0.5,FALSE,TRUE,TRUE,25,17,"collapsed-R",5.4690118502987e-05,11.508080986298,8.22036610224272
57.3815201536783,81.711284698838,0.004,2,1,1,0.5,FALSE,FALSE,TRUE,25,17,"AIW-N",5.4690118502987e-05,11.508080986298,8.22036610224272
0.863037537372326,0.863037537372326,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,18,"Null posterior-mean R",-0.00107579428058876,11.5049415899394,8.21174857970697
6.58528753394562,11.0435271944268,0.008,1,1,0,0.5,FALSE,TRUE,TRUE,25,18,"collapsed-R",-0.00107579428058876,11.5049415899394,8.21174857970697
10.5064934173754,14.9612466263425,0.006,1,1,0,0.5,FALSE,TRUE,TRUE,25,18,"AIW-N",-0.00107579428058876,11.5049415899394,8.21174857970697
1.02549003242826,1.02549003242826,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,19,"Null posterior-mean R",0.00244249973240835,11.5147117964957,8.23854550284564
3.84259615454241,6.44403375116762,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,25,19,"collapsed-R",0.00244249973240835,11.5147117964957,8.23854550284564
10.9756752380389,15.6293615389674,0.006,1,1,0,0.5,FALSE,TRUE,TRUE,25,19,"AIW-N",0.00244249973240835,11.5147117964957,8.23854550284564
1.1082879605281,1.1082879605281,0.01,0,0,0,0,FALSE,FALSE,TRUE,25,20,"Null posterior-mean R",-0.000916973605952477,11.5053826447068,8.21295966203387
3.37628912909048,5.66203686948474,0.002,1,1,0,1,TRUE,TRUE,TRUE,25,20,"collapsed-R",-0.000916973605952477,11.5053826447068,8.21295966203387
9.80588314515059,13.9635775986944,0.004,1,1,0,1,TRUE,TRUE,TRUE,25,20,"AIW-N",-0.000916973605952477,11.5053826447068,8.21295966203387
1.90183614787673,1.90183614787673,0.01,0,0,0,0,FALSE,FALSE,TRUE,50,1,"Null posterior-mean R",0.00155762571962889,11.5122545886394,8.23181214549707
45.3994071587873,76.1348058052863,0.008,2,2,0,1,TRUE,FALSE,TRUE,50,1,"collapsed-R",0.00155762571962889,11.5122545886394,8.23181214549707
66.5168814191442,94.7200391408613,0.006,2,1,1,0.5,FALSE,FALSE,TRUE,50,1,"AIW-N",0.00155762571962889,11.5122545886394,8.23181214549707
