"coverage","power","mean_reported_L","false_sets","fallback_frequency","mean_causal_pip","convergence_frequency","median_seconds","median_raw_eta0","median_eta0_used","median_lambda","ld_rmse","ld_correlation","coverage_lower","coverage_upper","power_lower","power_upper","mean_reported_L_lower","mean_reported_L_upper","false_sets_lower","false_sets_upper","fallback_frequency_lower","fallback_frequency_upper","mean_causal_pip_lower","mean_causal_pip_upper","ld_rmse_lower","ld_rmse_upper","T_generations","N0","method","panels"
0.875,0.875,2,0.25,0,0.680720760302078,1,0.0145,NA,NA,NA,0.0467260422809729,0.961479346669067,0.625,1,0.625,1,2,2,0,0.75,0,0,0.457293840335219,0.872576246684443,0.0461067078467253,0.0474166487768144,1,500,"SuSiE-RSS: reference R0",8
1,0.9375,1.875,0,0.125,0.693561530834561,1,0.8715,77.4747744792812,129.925196801755,0.004,0.0467260422809729,0.961479346669067,1,1,0.8125,1,1.625,2,0,0,0,0.375,0.611774420361398,0.77319340599389,0.0461000515822283,0.0474575755035703,1,500,"collapsed-R",8
1,0.9375,1.875,0,0.125,0.764662341575581,1,1.082,130.414389973906,185.710091322842,0.004,0.0467260422809729,0.961479346669067,1,1,0.8125,1,1.625,2,0,0,0,0.375,0.650747334940627,0.879758691878877,0.0461353006980394,0.0474590865711366,1,500,"AIW-N",8
1,1,2,0,0,0.801207857501931,1,0.199,NA,NA,NA,0.0517836190455862,0.951076158320289,1,1,1,1,2,2,0,0,0,0,0.657592423418937,0.934493374181132,0.0501679447701716,0.053275607538243,50,500,"SuSiE-RSS: in-sample R",8
0.941176470588235,1,2.125,0.125,0,0.824344200379836,1,0.0125000000000006,NA,NA,NA,0.0517836190455862,0.951076158320289,0.842105263157895,1,1,1,2,2.375,0,0.375,0,0,0.678393537571646,0.946224409238183,0.0502310756546546,0.0534211155929979,50,500,"SuSiE-RSS: reference R0",8
1,0.875,1.75,0,0.25,0.662495106609998,1,0.757,56.2649967794468,94.3563995991321,0.003,0.0517836190455862,0.951076158320289,1,1,0.6875,1,1.375,2,0,0,0,0.625,0.498215616910326,0.836158291569162,0.0502313177238346,0.0533553471949876,50,500,"collapsed-R",8
1,1,2,0,0,0.840309962969505,1,1.0645,132.046938160936,188.034839941174,0.004,0.0517836190455862,0.951076158320289,1,1,1,1,2,2,0,0,0,0,0.696582635516195,0.968994494079302,0.0501516622255899,0.0532970769124296,50,500,"AIW-N",8
1,1,2,0,0,0.754601350829556,1,0.1975,NA,NA,NA,0.0615239721053556,0.925159455871143,1,1,1,1,2,2,0,0,0,0,0.654982630100533,0.874515853166001,0.0600980587583856,0.0630092249615701,200,500,"SuSiE-RSS: in-sample R",8
0.714285714285714,0.9375,2.625,0.75,0,0.73647083585794,1,0.0169999999999999,NA,NA,NA,0.0615239721053556,0.925159455871143,0.5,0.941176470588235,0.8125,1,2.125,3.25,0.125,1.625,0,0,0.619484403810842,0.855107498899342,0.0598711928109871,0.0629857986786013,200,500,"SuSiE-RSS: reference R0",8
1,0.75,1.5,0,0.5,0.521936467894431,1,0.5475,55.552084840819,93.1608462780535,0.007,0.0615239721053556,0.925159455871143,1,1,0.5625,0.9375,1.125,1.875,0,0,0.125,0.875,0.340775840743119,0.692002444029554,0.0600224370276125,0.06311588318354,200,500,"collapsed-R",8
1,0.9375,1.875,0,0.125,0.678019518045866,1,1.0995,96.4579987873317,137.35619027316,0.007,0.0615239721053556,0.925159455871143,1,1,0.8125,1,1.625,2,0,0,0,0.375,0.518261456014983,0.830422009805206,0.0599355186118559,0.0630055820142654,200,500,"AIW-N",8
1,1,2,0,0,0.584044930499397,1,0.2085,NA,NA,NA,0.0805305468886138,0.840235269047136,1,1,1,1,2,2,0,0,0,0,0.436756633106414,0.739038497956558,0.0792965429690908,0.0818019975624019,1000,500,"SuSiE-RSS: in-sample R",8
0.761904761904762,1,2.625,0.625,0,0.609240216139262,1,0.0189999999999997,NA,NA,NA,0.0805305468886138,0.840235269047136,0.64,0.941176470588235,1,1,2.125,3.125,0.125,1.125,0,0,0.470906696863526,0.764283802905826,0.0792428079317518,0.0818899085715203,1000,500,"SuSiE-RSS: reference R0",8
1,0.5,1,0,1,0.306144857807672,1,0.3935,20.6287472485164,34.594409135762,0.01,0.0805305468886138,0.840235269047136,1,1,0.5,0.5,1,1,0,0,1,1,0.199634195822421,0.406467795740655,0.0792457152202313,0.0817912777502307,1000,500,"collapsed-R",8
1,0.6875,1.375,0,0.625,0.368658115091,1,1.1555,31.0916759319579,44.274546527108,0.01,0.0805305468886138,0.840235269047136,1,1,0.5625,0.875,1.125,1.75,0,0,0.25,0.875,0.22625844551814,0.522645157125447,0.0791945278850285,0.0818327905968941,1000,500,"AIW-N",8
1,1,2,0,0,0.956884071839907,1,0.2025,NA,NA,NA,0.0977138161185633,0.660894254413951,1,1,1,1,2,2,0,0,0,0,0.879438287856381,0.997697255351144,0.0959712625289406,0.0994124555438757,5000,500,"SuSiE-RSS: in-sample R",8
0.46875,0.9375,4,2.125,0,0.929897370371144,1,0.0204999999999993,NA,NA,NA,0.0977138161185633,0.660894254413951,0.416666666666667,0.533333333333333,0.8125,1,3.5,4.5,1.75,2.5,0,0,0.805387148609125,0.999292854817086,0.0960534364101024,0.0993027005025073,5000,500,"SuSiE-RSS: reference R0",8
1,0.5,1,0,1,0.496371258408153,1,0.351,7.47166212113406,12.5299773771418,0.01,0.0977138161185633,0.660894254413951,1,1,0.5,0.5,1,1,0,0,1,1,0.491567104396214,0.499930120907761,0.0961333048212408,0.0994248765704195,5000,500,"collapsed-R",8
1,0.5,1,0,1,0.496371258408153,1,1.1735,12.8039108287714,18.2327690201705,0.01,0.0977138161185633,0.660894254413951,1,1,0.5,0.5,1,1,0,0,1,1,0.491567104349797,0.499930120939923,0.0960246979556832,0.099288539487198,5000,500,"AIW-N",8
1,1,2,0,0,0.835009132117285,1,0.196,NA,NA,NA,0.029842608288412,0.983826307127202,1,1,1,1,2,2,0,0,0,0,0.727823485392164,0.929968097030308,0.0292736166272412,0.0303193345512283,1,2000,"SuSiE-RSS: in-sample R",8
1,1,2,0,0,0.830367708283595,1,0.0135000000000005,NA,NA,NA,0.029842608288412,0.983826307127202,1,1,1,1,2,2,0,0,0,0,0.717771564230689,0.926665275209307,0.0292869917537886,0.0303405610249102,1,2000,"SuSiE-RSS: reference R0",8
