"stratum","fits","intercept","exp_intercept","slope","r_squared","fixed_slope_one_log_shift","fixed_slope_one_multiplier"
"pooled",270,1.58882701574027,4.89800028021603,0.795686015899761,0.87250613905122,0.429851917766653,1.53702989987489
"true_lambda=0.001",135,1.59681567373519,4.93728543823257,0.79412711276435,0.860539751112532,0.428776207438331,1.53537738990703
"true_lambda=0.01",135,1.58101212594532,4.85987212552228,0.797214871247671,0.884479459834312,0.430927628094975,1.53868418842124
