method,model,finite_fits,intercept,multiplier_at_J_500_L_1,multiplier_CI_lower,multiplier_CI_upper,J_exponent,J_exponent_SE,L2_log_shift,L3_log_shift,adjusted_R_squared,AIC,held_out_fits,CV_RMSE,CV_MAE,CV_bias
AIW-N,L,228,0.253145748559352,1.28807099764653,1.13224892879177,1.4653375709073,0,0,0.0817923056727913,0.22095071314159,0.0164043668830888,396.035097067823,228,0.574207555488108,0.434241066623866,0.000574148800526749
AIW-N,J_and_L,228,0.252866572535694,1.28771144929819,1.13248804739867,1.46421039980294,-0.0603759537133686,0.0365172863362699,0.0823394303236186,0.222242608780017,0.0239248098735477,395.269548614892,228,0.578707814958268,0.434761805084668,-0.00222796415550792
AIW-N,constant,228,0.353449744271738,1.42397142243226,1.32100343213874,1.5349654380692,0,0,0,0,0,397.824022453413,228,0.579632155285154,0.436953541191007,0.000530350789028388
AIW-N,J,228,0.353776199273207,1.42443636091168,1.32178331407581,1.5350617038966,-0.0596254284574687,0.0368295231668392,0,0,0.00709043721297864,397.195020110626,228,0.584330203310266,0.442654412705622,-0.00216545157823683
collapsed-R,L,230,0.399010677795545,1.49034953217004,1.25461739672399,1.77037376800227,0,0,0.0936065068901659,0.263123475548493,0.0111715452130373,538.491183717421,230,0.771122484559836,0.544198805640686,0.000474946392969255
collapsed-R,J_and_L,230,0.39878999116883,1.49002066824843,1.25388490928382,1.77062629541939,-0.0135784472945367,0.0496060650022491,0.0941757958701949,0.263692764528522,0.00712536533549268,540.414944561071,230,0.773615995382301,0.547194316198486,-0.00306993815590716
collapsed-R,constant,230,0.516886671992667,1.67679908924311,1.51597334527511,1.85468642601779,0,0,0,0,0,539.092656102722,230,0.77712187911242,0.558883843515422,0.000364353928222847
collapsed-R,J,230,0.517023989393411,1.67702935874526,1.51585300586949,1.85534313630914,-0.0119877039345226,0.0498771841982991,0,0,-0.00413156091403444,541.034391318714,230,0.779547803363032,0.561960248388839,-0.00291988278805519
