"T_generations","N0","panel_seed","J","N","true_L","h2","method","fit_seconds","causal_1","causal_2","causal_LD","expected_z_stronger","expected_z_weaker","ld_rmse","ld_mae","ld_correlation","maximum_ld_error","selected_lambda","raw_eta0","eta0_used","selected_model_L","reported_L","true_sets","false_sets","causal_power","all_causal_covered","mean_causal_pip","fallback","converged"
50,100,103,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.199,124,376,-0.000640945742850147,11.5061491879722,8.21506418150891,0.104815316276786,0.0831217783489082,0.842276985345453,0.475934556341695,NA,NA,NA,5,2,2,0,1,TRUE,0.540261628066528,FALSE,TRUE
50,100,103,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0340000000000003,124,376,-0.000640945742850147,11.5061491879722,8.21506418150891,0.104815316276786,0.0831217783489082,0.842276985345453,0.475934556341695,NA,NA,NA,5,4,2,2,1,TRUE,0.653854245238905,FALSE,TRUE
50,100,103,500,200000,2,0.001,"collapsed-R",0.568,124,376,-0.000640945742850147,11.5061491879722,8.21506418150891,0.104815316276786,0.0831217783489082,0.842276985345453,0.475934556341695,0.01,1.8319123496632,3.07211701038518,5,1,1,0,0.5,FALSE,0.126703619469014,TRUE,TRUE
50,100,103,500,200000,2,0.001,"AIW-N",1.283,124,376,-0.000640945742850147,11.5061491879722,8.21506418150891,0.104815316276786,0.0831217783489082,0.842276985345453,0.475934556341695,0.01,4.4185665746618,6.29203880231841,1,1,1,0,0.5,FALSE,0.126703619469014,TRUE,TRUE
50,500,103,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.199,124,376,-0.000640945742850147,11.5061491879722,8.21506418150891,0.0537844953915736,0.0424700798663963,0.953944752894785,0.269509797298223,NA,NA,NA,5,2,2,0,1,TRUE,0.540261628066528,FALSE,TRUE
50,500,103,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0120000000000005,124,376,-0.000640945742850147,11.5061491879722,8.21506418150891,0.0537844953915736,0.0424700798663963,0.953944752894785,0.269509797298223,NA,NA,NA,5,2,2,0,1,TRUE,0.630395512875327,FALSE,TRUE
50,500,103,500,200000,2,0.001,"collapsed-R",0.513999999999999,124,376,-0.000640945742850147,11.5061491879722,8.21506418150891,0.0537844953915736,0.0424700798663963,0.953944752894785,0.269509797298223,0.002,43.6588359838773,73.2158679449623,5,2,2,0,1,TRUE,0.445365951621901,FALSE,TRUE
50,500,103,500,200000,2,0.001,"AIW-N",1.055,124,376,-0.000640945742850147,11.5061491879722,8.21506418150891,0.0537844953915736,0.0424700798663963,0.953944752894785,0.269509797298223,0.004,139.142550337969,198.138991681268,3,2,2,0,1,TRUE,0.630207865582864,FALSE,TRUE
50,2000,103,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.199,124,376,-0.000640945742850147,11.5061491879722,8.21506418150891,0.0353246230380607,0.0278000884253704,0.979627021539428,0.173303455133096,NA,NA,NA,5,2,2,0,1,TRUE,0.540261628066528,FALSE,TRUE
50,2000,103,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0129999999999999,124,376,-0.000640945742850147,11.5061491879722,8.21506418150891,0.0353246230380607,0.0278000884253704,0.979627021539428,0.173303455133096,NA,NA,NA,5,2,2,0,1,TRUE,0.60099511777729,FALSE,TRUE
50,2000,103,500,200000,2,0.001,"collapsed-R",0.41,124,376,-0.000640945742850147,11.5061491879722,8.21506418150891,0.0353246230380607,0.0278000884253704,0.979627021539428,0.173303455133096,0.001,302.023183307434,506.492878406567,5,2,2,0,1,TRUE,0.576117920174774,FALSE,TRUE
50,2000,103,500,200000,2,0.001,"AIW-N",0.97,124,376,-0.000640945742850147,11.5061491879722,8.21506418150891,0.0353246230380607,0.0278000884253704,0.979627021539428,0.173303455133096,0.001,300.927296740153,428.520470557977,4,2,2,0,1,TRUE,0.600894200640063,FALSE,TRUE
