"T_generations","N0","panel_seed","J","N","true_L","h2","method","fit_seconds","causal_1","causal_2","causal_LD","expected_z_stronger","expected_z_weaker","ld_rmse","ld_mae","ld_correlation","maximum_ld_error","selected_lambda","raw_eta0","eta0_used","selected_model_L","reported_L","true_sets","false_sets","causal_power","all_causal_covered","mean_causal_pip","fallback","converged"
50,100,108,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.211,124,48,0.000656862453995446,11.5097532135111,8.22495357497061,0.101631080811027,0.0808834684728306,0.817566260484502,0.434635258821756,NA,NA,NA,5,2,2,0,1,TRUE,0.416136236052104,FALSE,TRUE
50,100,108,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0249999999999999,124,48,0.000656862453995446,11.5097532135111,8.22495357497061,0.101631080811027,0.0808834684728306,0.817566260484502,0.434635258821756,NA,NA,NA,5,4,1,3,0.5,FALSE,0.361715970502111,FALSE,TRUE
50,100,108,500,200000,2,0.001,"collapsed-R",0.699,124,48,0.000656862453995446,11.5097532135111,8.22495357497061,0.101631080811027,0.0808834684728306,0.817566260484502,0.434635258821756,0.01,1,1.677,5,1,1,0,0.5,FALSE,0.0420408808439225,TRUE,TRUE
50,100,108,500,200000,2,0.001,"AIW-N",1.259,124,48,0.000656862453995446,11.5097532135111,8.22495357497061,0.101631080811027,0.0808834684728306,0.817566260484502,0.434635258821756,0.01,2.31315087836839,3.29392685079659,1,1,1,0,0.5,FALSE,0.0420408808439225,TRUE,TRUE
50,500,108,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.211,124,48,0.000656862453995446,11.5097532135111,8.22495357497061,0.055175977439757,0.0435602206787604,0.936798704823937,0.257250371908419,NA,NA,NA,5,2,2,0,1,TRUE,0.416136236052104,FALSE,TRUE
50,500,108,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0130000000000008,124,48,0.000656862453995446,11.5097532135111,8.22495357497061,0.055175977439757,0.0435602206787604,0.936798704823937,0.257250371908419,NA,NA,NA,5,2,2,0,1,TRUE,0.458263023107285,FALSE,TRUE
50,500,108,500,200000,2,0.001,"collapsed-R",0.655,124,48,0.000656862453995446,11.5097532135111,8.22495357497061,0.055175977439757,0.0435602206787604,0.936798704823937,0.257250371908419,0.004,42.1112979553357,70.620646671098,5,2,2,0,1,TRUE,0.376565027414884,FALSE,TRUE
50,500,108,500,200000,2,0.001,"AIW-N",1.074,124,48,0.000656862453995446,11.5097532135111,8.22495357497061,0.055175977439757,0.0435602206787604,0.936798704823937,0.257250371908419,0.004,88.8185549330825,126.477622224709,4,2,2,0,1,TRUE,0.456943424220749,FALSE,TRUE
50,2000,108,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.211,124,48,0.000656862453995446,11.5097532135111,8.22495357497061,0.03931566195397,0.030971549666696,0.967027296091177,0.169059185718229,NA,NA,NA,5,2,2,0,1,TRUE,0.416136236052104,FALSE,TRUE
50,2000,108,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0139999999999993,124,48,0.000656862453995446,11.5097532135111,8.22495357497061,0.03931566195397,0.030971549666696,0.967027296091177,0.169059185718229,NA,NA,NA,5,2,2,0,1,TRUE,0.434558048277905,FALSE,TRUE
50,2000,108,500,200000,2,0.001,"collapsed-R",0.994000000000001,124,48,0.000656862453995446,11.5097532135111,8.22495357497061,0.03931566195397,0.030971549666696,0.967027296091177,0.169059185718229,1e-04,150.407431969869,252.233263413471,5,2,2,0,1,TRUE,0.407958934098685,FALSE,TRUE
50,2000,108,500,200000,2,0.001,"AIW-N",1.042,124,48,0.000656862453995446,11.5097532135111,8.22495357497061,0.03931566195397,0.030971549666696,0.967027296091177,0.169059185718229,1e-04,151.678735118541,215.990518808803,5,2,2,0,1,TRUE,0.434549306875846,FALSE,TRUE
