"T_generations","N0","panel_seed","J","N","true_L","h2","method","fit_seconds","causal_1","causal_2","causal_LD","expected_z_stronger","expected_z_weaker","ld_rmse","ld_mae","ld_correlation","maximum_ld_error","selected_lambda","raw_eta0","eta0_used","selected_model_L","reported_L","true_sets","false_sets","causal_power","all_causal_covered","mean_causal_pip","fallback","converged"
5000,100,108,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.195,124,312,-0.00018684973953079,11.5074102268794,8.21852545498214,0.130272109743843,0.102251962913903,0.522013474405478,0.874568123614244,NA,NA,NA,5,2,2,0,1,TRUE,0.988483537996365,FALSE,TRUE
5000,100,108,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0249999999999995,124,312,-0.00018684973953079,11.5074102268794,8.21852545498214,0.130272109743843,0.102251962913903,0.522013474405478,0.874568123614244,NA,NA,NA,5,4,1,3,0.5,FALSE,0.5000001121879,FALSE,TRUE
5000,100,108,500,200000,2,0.001,"collapsed-R",0.538,124,312,-0.00018684973953079,11.5074102268794,8.21852545498214,0.130272109743843,0.102251962913903,0.522013474405478,0.874568123614244,0.01,1,1.677,5,1,1,0,0.5,FALSE,0.5,TRUE,TRUE
5000,100,108,500,200000,2,0.001,"AIW-N",1.148,124,312,-0.00018684973953079,11.5074102268794,8.21852545498214,0.130272109743843,0.102251962913903,0.522013474405478,0.874568123614244,0.01,1.41105371995707,2.00934049721887,1,1,1,0,0.5,FALSE,0.5,TRUE,TRUE
5000,500,108,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.195,124,312,-0.00018684973953079,11.5074102268794,8.21852545498214,0.0937047298103035,0.0709479444951279,0.67232897841187,0.680209795917574,NA,NA,NA,5,2,2,0,1,TRUE,0.988483537996365,FALSE,TRUE
5000,500,108,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.020999999999999,124,312,-0.00018684973953079,11.5074102268794,8.21852545498214,0.0937047298103035,0.0709479444951279,0.67232897841187,0.680209795917574,NA,NA,NA,5,4,2,2,1,TRUE,0.942892854052453,FALSE,TRUE
5000,500,108,500,200000,2,0.001,"collapsed-R",0.369,124,312,-0.00018684973953079,11.5074102268794,8.21852545498214,0.0937047298103035,0.0709479444951279,0.67232897841187,0.680209795917574,0.01,7.42993435324502,12.4599999103919,5,1,1,0,0.5,FALSE,0.5,TRUE,TRUE
5000,500,108,500,200000,2,0.001,"AIW-N",1.092,124,312,-0.00018684973953079,11.5074102268794,8.21852545498214,0.0937047298103035,0.0709479444951279,0.67232897841187,0.680209795917574,0.01,13.4367605110312,19.1339469677085,1,1,1,0,0.5,FALSE,0.5,TRUE,TRUE
5000,2000,108,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.195,124,312,-0.00018684973953079,11.5074102268794,8.21852545498214,0.0863292607045495,0.064363516298265,0.709636110038556,0.717986346614116,NA,NA,NA,5,2,2,0,1,TRUE,0.988483537996365,FALSE,TRUE
5000,2000,108,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0289999999999999,124,312,-0.00018684973953079,11.5074102268794,8.21852545498214,0.0863292607045495,0.064363516298265,0.709636110038556,0.717986346614116,NA,NA,NA,5,5,2,3,1,TRUE,0.984265792597157,FALSE,TRUE
5000,2000,108,500,200000,2,0.001,"collapsed-R",0.536,124,312,-0.00018684973953079,11.5074102268794,8.21852545498214,0.0863292607045495,0.064363516298265,0.709636110038556,0.717986346614116,0.01,29.0431044903857,48.7052862303769,5,1,1,0,0.5,FALSE,0.5,TRUE,TRUE
5000,2000,108,500,200000,2,0.001,"AIW-N",1.145,124,312,-0.00018684973953079,11.5074102268794,8.21852545498214,0.0863292607045495,0.064363516298265,0.709636110038556,0.717986346614116,0.01,31.7023573801459,45.1441569093278,1,1,1,0,0.5,FALSE,0.5,TRUE,TRUE
