"T_generations","N0","panel_seed","J","N","true_L","h2","method","fit_seconds","causal_1","causal_2","causal_LD","expected_z_stronger","expected_z_weaker","ld_rmse","ld_mae","ld_correlation","maximum_ld_error","selected_lambda","raw_eta0","eta0_used","selected_model_L","reported_L","true_sets","false_sets","causal_power","all_causal_covered","mean_causal_pip","fallback","converged"
1,100,107,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.199,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0950292351484675,0.0755357968404356,0.847045341352631,0.454774625552012,NA,NA,NA,5,2,2,0,1,TRUE,0.790340987940781,FALSE,TRUE
1,100,107,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.052,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0950292351484675,0.0755357968404356,0.847045341352631,0.454774625552012,NA,NA,NA,5,5,2,3,1,TRUE,0.911065484718911,FALSE,TRUE
1,100,107,500,200000,2,0.001,"collapsed-R",0.599,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0950292351484675,0.0755357968404356,0.847045341352631,0.454774625552012,0.01,1,1.677,5,1,1,0,0.5,FALSE,0.499999999997483,TRUE,TRUE
1,100,107,500,200000,2,0.001,"AIW-N",1.662,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0950292351484675,0.0755357968404356,0.847045341352631,0.454774625552012,0.01,3.70424343164749,5.27484264666603,1,1,1,0,0.5,FALSE,0.499999999997483,TRUE,TRUE
1,500,107,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.199,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0470624950061625,0.0373529032709184,0.953041219514505,0.22140426733072,NA,NA,NA,5,2,2,0,1,TRUE,0.790340987940781,FALSE,TRUE
1,500,107,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0149999999999997,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0470624950061625,0.0373529032709184,0.953041219514505,0.22140426733072,NA,NA,NA,5,2,2,0,1,TRUE,0.805818202687053,FALSE,TRUE
1,500,107,500,200000,2,0.001,"collapsed-R",0.967,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0470624950061625,0.0373529032709184,0.953041219514505,0.22140426733072,0.004,84.3744029780632,141.495873794212,5,2,2,0,1,TRUE,0.766194905047772,FALSE,TRUE
1,500,107,500,200000,2,0.001,"AIW-N",1.079,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0470624950061625,0.0373529032709184,0.953041219514505,0.22140426733072,0.004,167.854407185363,239.024675831956,5,2,2,0,1,TRUE,0.806016909442855,FALSE,TRUE
1,2000,107,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.199,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0307772536894888,0.0245567007878608,0.979362010893438,0.144922908921244,NA,NA,NA,5,2,2,0,1,TRUE,0.790340987940781,FALSE,TRUE
1,2000,107,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0130000000000008,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0307772536894888,0.0245567007878608,0.979362010893438,0.144922908921244,NA,NA,NA,5,2,2,0,1,TRUE,0.809932678540871,FALSE,TRUE
1,2000,107,500,200000,2,0.001,"collapsed-R",1.142,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0307772536894888,0.0245567007878608,0.979362010893438,0.144922908921244,1e-04,150.163627390939,251.824403134604,5,2,2,0,1,TRUE,0.779055752963833,FALSE,TRUE
1,2000,107,500,200000,2,0.001,"AIW-N",1.052,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0307772536894888,0.0245567007878608,0.979362010893438,0.144922908921244,1e-04,151.462907944214,215.683180912561,2,2,2,0,1,TRUE,0.809144938088414,FALSE,TRUE
