"T_generations","N0","panel_seed","J","N","true_L","h2","method","fit_seconds","causal_1","causal_2","causal_LD","expected_z_stronger","expected_z_weaker","ld_rmse","ld_mae","ld_correlation","maximum_ld_error","selected_lambda","raw_eta0","eta0_used","selected_model_L","reported_L","true_sets","false_sets","causal_power","all_causal_covered","mean_causal_pip","fallback","converged"
200,100,104,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.206,124,447,-0.00186610844091412,11.5027468201045,8.20572004388116,0.106472523334307,0.0844195394357517,0.818667908998354,0.526975964436058,NA,NA,NA,5,2,2,0,1,TRUE,0.999917934389183,FALSE,TRUE
200,100,104,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0509999999999997,124,447,-0.00186610844091412,11.5027468201045,8.20572004388116,0.106472523334307,0.0844195394357517,0.818667908998354,0.526975964436058,NA,NA,NA,5,5,2,3,1,TRUE,0.999983133079932,FALSE,TRUE
200,100,104,500,200000,2,0.001,"collapsed-R",0.577,124,447,-0.00186610844091412,11.5027468201045,8.20572004388116,0.106472523334307,0.0844195394357517,0.818667908998354,0.526975964436058,0.01,1,1.677,5,1,1,0,0.5,FALSE,0.5,TRUE,TRUE
200,100,104,500,200000,2,0.001,"AIW-N",1.277,124,447,-0.00186610844091412,11.5027468201045,8.20572004388116,0.106472523334307,0.0844195394357517,0.818667908998354,0.526975964436058,0.01,3.62932145204123,5.16815374770671,1,1,1,0,0.5,FALSE,0.5,TRUE,TRUE
200,500,104,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.206,124,447,-0.00186610844091412,11.5027468201045,8.20572004388116,0.0630163894174847,0.0495933444133581,0.926873111071875,0.336446869914069,NA,NA,NA,5,2,2,0,1,TRUE,0.999917934389183,FALSE,TRUE
200,500,104,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0190000000000001,124,447,-0.00186610844091412,11.5027468201045,8.20572004388116,0.0630163894174847,0.0495933444133581,0.926873111071875,0.336446869914069,NA,NA,NA,5,3,2,1,1,TRUE,0.988565873467221,FALSE,TRUE
200,500,104,500,200000,2,0.001,"collapsed-R",0.641,124,447,-0.00186610844091412,11.5027468201045,8.20572004388116,0.0630163894174847,0.0495933444133581,0.926873111071875,0.336446869914069,0.008,74.780787296914,125.407380296925,5,2,2,0,1,TRUE,0.897708887469994,FALSE,TRUE
200,500,104,500,200000,2,0.001,"AIW-N",1.12,124,447,-0.00186610844091412,11.5027468201045,8.20572004388116,0.0630163894174847,0.0495933444133581,0.926873111071875,0.336446869914069,0.006,99.6429599907316,141.891575026802,2,2,2,0,1,TRUE,0.991365576468149,FALSE,TRUE
200,2000,104,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.206,124,447,-0.00186610844091412,11.5027468201045,8.20572004388116,0.051380569670067,0.0402751688851349,0.950111072439576,0.282653232940878,NA,NA,NA,5,2,2,0,1,TRUE,0.999917934389183,FALSE,TRUE
200,2000,104,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0139999999999993,124,447,-0.00186610844091412,11.5027468201045,8.20572004388116,0.051380569670067,0.0402751688851349,0.950111072439576,0.282653232940878,NA,NA,NA,5,2,2,0,1,TRUE,0.999403606905348,FALSE,TRUE
200,2000,104,500,200000,2,0.001,"collapsed-R",1.1,124,447,-0.00186610844091412,11.5027468201045,8.20572004388116,0.051380569670067,0.0402751688851349,0.950111072439576,0.282653232940878,0.001,86.3185160117237,144.756151351661,5,2,2,0,1,TRUE,0.959606178292099,FALSE,TRUE
200,2000,104,500,200000,2,0.001,"AIW-N",1.108,124,447,-0.00186610844091412,11.5027468201045,8.20572004388116,0.051380569670067,0.0402751688851349,0.950111072439576,0.282653232940878,0.002,220.424467775918,313.884442112907,4,2,2,0,1,TRUE,0.999374736177405,FALSE,TRUE
