J,panel_seed,true_eta0,true_L,true_lambda,h2,N,N0,causal,maximum_abs_causal_ld,minimum_expected_abs_z,maximum_expected_abs_z,achieved_h2,method,raw_eta0,selected_lambda,selected_model_L,raw_pure_L,eta0_boundary,converged,fit_seconds
2000,51,20,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,AIW-N,15.6502401755115,0.006,1,1,interior,TRUE,8.161
2000,51,20,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,collapsed-R,4.82721060329146,0.006,5,0,interior,TRUE,1.749
2000,51,20,2,0.001,0.001,200000,2000,497;895,0.00242649172993789,8.23842372879582,11.5146673442425,0.001,AIW-N,14.0485871415795,0.006,1,1,interior,TRUE,7.06
2000,51,20,2,0.001,0.001,200000,2000,497;895,0.00242649172993789,8.23842372879582,11.5146673442425,0.001,collapsed-R,5.46646692624084,0.006,5,0,interior,TRUE,1.758
2000,51,20,3,0.001,0.001,200000,2000,497;895;673,0.00944776779803929,4.67640291474561,10.9099742086272,0.001,AIW-N,12.1994787033364,0.006,1,1,interior,TRUE,7.394
2000,51,20,3,0.001,0.001,200000,2000,497;895;673,0.00944776779803929,4.67640291474561,10.9099742086272,0.001,collapsed-R,4.69519935266041,0.006,5,0,interior,TRUE,1.678
2000,51,50,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,AIW-N,54.8497402618516,0.004,1,1,interior,TRUE,8.035
2000,51,50,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,collapsed-R,45.2183962742761,0.004,5,1,interior,TRUE,2.04199999999999
2000,51,50,2,0.001,0.001,200000,2000,497;1435,0.000413824151957514,8.22310229335228,11.5090783006316,0.001,AIW-N,27.3464350549237,0.004,1,1,interior,TRUE,7.33000000000001
2000,51,50,2,0.001,0.001,200000,2000,497;1435,0.000413824151957514,8.22310229335228,11.5090783006316,0.001,collapsed-R,21.7549399467299,0.004,5,0,interior,TRUE,1.713
2000,51,50,3,0.001,0.001,200000,2000,497;1435;1159,0.0185202494142719,4.83257842768336,10.9033084180067,0.001,AIW-N,22.8022152078032,0.004,1,1,interior,TRUE,9.557
2000,51,50,3,0.001,0.001,200000,2000,497;1435;1159,0.0185202494142719,4.83257842768336,10.9033084180067,0.001,collapsed-R,17.5027679255359,0.004,5,0,interior,TRUE,1.657
2000,51,100,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,AIW-N,96.7495965181755,0.002,1,1,interior,TRUE,8.381
2000,51,100,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,collapsed-R,90.9997566001296,0.002,5,1,interior,TRUE,2.813
2000,51,100,2,0.001,0.001,200000,2000,497;747,0.000238550316540127,8.22176699341332,11.5085915664719,0.001,AIW-N,108.469762112937,0.002,2,2,interior,TRUE,7.11
2000,51,100,2,0.001,0.001,200000,2000,497;747,0.000238550316540127,8.22176699341332,11.5085915664719,0.001,collapsed-R,73.0561431470854,0.002,5,1,interior,TRUE,2.70400000000001
2000,51,100,3,0.001,0.001,200000,2000,497;747;1469,0.012217282822188,4.7217407133189,10.9051438218988,0.001,AIW-N,60.0198023346861,0.002,1,1,interior,TRUE,7.968
2000,51,100,3,0.001,0.001,200000,2000,497;747;1469,0.012217282822188,4.7217407133189,10.9051438218988,0.001,collapsed-R,54.8264983003382,0.002,5,1,interior,TRUE,2.423
2000,51,200,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,AIW-N,250.864884015812,0.002,5,1,interior,TRUE,7.593
2000,51,200,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,collapsed-R,180.43649992552,0.002,5,1,interior,TRUE,2.45699999999999
2000,51,200,2,0.001,0.001,200000,2000,497;1590,0.00143128333661976,8.20903731658743,11.5039543703753,0.001,AIW-N,188.42531827317,0.002,2,2,interior,TRUE,7.231
2000,51,200,2,0.001,0.001,200000,2000,497;1590,0.00143128333661976,8.20903731658743,11.5039543703753,0.001,collapsed-R,127.770380051927,0.002,5,1,interior,TRUE,2.06200000000001
2000,51,200,3,0.001,0.001,200000,2000,497;1590;1806,0.0191694180333838,4.53023439822909,10.8087559307629,0.001,AIW-N,155.493384442708,0.002,2,2,interior,TRUE,6.87100000000001
2000,51,200,3,0.001,0.001,200000,2000,497;1590;1806,0.0191694180333838,4.53023439822909,10.8087559307629,0.001,collapsed-R,101.926408548572,0.002,5,1,interior,TRUE,1.956
2000,51,500,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,AIW-N,463.954744800919,0.002,5,1,interior,TRUE,9.75
2000,51,500,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,collapsed-R,343.28506479065,0.002,5,1,interior,TRUE,2.36000000000001
2000,51,500,2,0.001,0.001,200000,2000,497;322,0.000458700987780112,8.21645344584832,11.5066552886817,0.001,AIW-N,514.886544729589,0.002,5,2,interior,TRUE,8.63899999999998
2000,51,500,2,0.001,0.001,200000,2000,497;322,0.000458700987780112,8.21645344584832,11.5066552886817,0.001,collapsed-R,391.083511297267,0.002,5,2,interior,TRUE,2.48000000000002
2000,51,500,3,0.001,0.001,200000,2000,497;322;1692,0.00364888035408703,4.70374598770757,10.8685941208172,0.001,AIW-N,509.469639860767,0.002,5,3,interior,TRUE,7.024
2000,51,500,3,0.001,0.001,200000,2000,497;322;1692,0.00364888035408703,4.70374598770757,10.8685941208172,0.001,collapsed-R,434.971668663245,0.002,5,3,interior,TRUE,2.767
2000,51,1000,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,AIW-N,545.537235001155,0.001,5,1,interior,TRUE,6.114
2000,51,1000,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,collapsed-R,442.3523672591,0.001,5,1,interior,TRUE,2.48000000000002
2000,51,1000,2,0.001,0.001,200000,2000,497;173,0.000584319164370655,8.21549586894017,11.5063064423468,0.001,AIW-N,445.998815395124,0.001,5,2,interior,TRUE,6.214
2000,51,1000,2,0.001,0.001,200000,2000,497;173,0.000584319164370655,8.21549586894017,11.5063064423468,0.001,collapsed-R,372.260437084322,0.001,5,2,interior,TRUE,2.161
2000,51,1000,3,0.001,0.001,200000,2000,497;173;1665,0.00183231557388722,4.62955346499394,10.8637996862648,0.001,AIW-N,420.535333257395,0.001,5,2,interior,TRUE,6.387
2000,51,1000,3,0.001,0.001,200000,2000,497;173;1665,0.00183231557388722,4.62955346499394,10.8637996862648,0.001,collapsed-R,330.945570972895,0.001,5,2,interior,TRUE,2.14999999999998
2000,51,2000,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,AIW-N,1378.99928113325,0.001,4,1,interior,TRUE,5.85499999999999
2000,51,2000,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,collapsed-R,1451.78963694857,0.001,5,1,interior,TRUE,2.292
2000,51,2000,2,0.001,0.001,200000,2000,497;1658,4.69837196399291e-05,8.22030738069889,11.5080595855725,0.001,AIW-N,2001.54727996267,0.001,5,2,interior,TRUE,6.67599999999999
2000,51,2000,2,0.001,0.001,200000,2000,497;1658,4.69837196399291e-05,8.22030738069889,11.5080595855725,0.001,collapsed-R,2143.61037690708,0.001,5,2,interior,TRUE,2.352
2000,51,2000,3,0.001,0.001,200000,2000,497;1658;828,0.00367079733724254,4.64051728985939,10.8537801683086,0.001,AIW-N,2352.92188724817,0.001,5,2,interior,TRUE,6.352
2000,51,2000,3,0.001,0.001,200000,2000,497;1658;828,0.00367079733724254,4.64051728985939,10.8537801683086,0.001,collapsed-R,2188.23503251738,0.001,5,2,interior,TRUE,1.98399999999998
2000,51,5000,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,AIW-N,4369.84203558373,0.001,5,1,interior,TRUE,5.886
2000,51,5000,1,0.001,0.001,200000,2000,497,0,14.142135623731,14.142135623731,0.001,collapsed-R,5010.75724765033,0.001,5,1,interior,TRUE,2.494
2000,51,5000,2,0.001,0.001,200000,2000,497;828,3.38758337736998e-05,8.22020749994366,11.5080231848713,0.001,AIW-N,4634.86684507229,0.001,5,2,interior,TRUE,6.34199999999999
2000,51,5000,2,0.001,0.001,200000,2000,497;828,3.38758337736998e-05,8.22020749994366,11.5080231848713,0.001,collapsed-R,5549.59319939669,0.001,5,2,interior,TRUE,2.03
2000,51,5000,3,0.001,0.001,200000,2000,497;828;1732,0.00270684540059594,4.68960435431489,10.8636749464309,0.001,AIW-N,5527.3592450583,0.001,5,3,interior,TRUE,6.179
2000,51,5000,3,0.001,0.001,200000,2000,497;828;1732,0.00270684540059594,4.68960435431489,10.8636749464309,0.001,collapsed-R,6493.97899709059,0.001,5,3,interior,TRUE,2.20600000000002
