J,panel_seed,true_eta0,true_L,true_lambda,h2,N,N0,causal,maximum_abs_causal_ld,minimum_expected_abs_z,maximum_expected_abs_z,achieved_h2,method,raw_eta0,selected_lambda,selected_model_L,raw_pure_L,eta0_boundary,converged,fit_seconds
100,52,20,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,AIW-N,27.0229977220473,0.01,1,1,interior,TRUE,0.577
100,52,20,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,collapsed-R,22.6052400190692,0.01,5,1,interior,TRUE,1.51
100,52,20,2,0.001,0.001,200000,2000,25;8,0.00340968349327409,8.24590040098971,11.5173975195789,0.001,AIW-N,17.0763931602471,0.01,1,1,interior,TRUE,0.389
100,52,20,2,0.001,0.001,200000,2000,25;8,0.00340968349327409,8.24590040098971,11.5173975195789,0.001,collapsed-R,13.2108425658938,0.01,5,0,interior,TRUE,1.004
100,52,20,3,0.001,0.001,200000,2000,25;8;90,0.00726130043871736,4.69022569744983,10.8993383633901,0.001,AIW-N,14.5496440030087,0.01,1,1,interior,TRUE,0.394
100,52,20,3,0.001,0.001,200000,2000,25;8;90,0.00726130043871736,4.69022569744983,10.8993383633901,0.001,collapsed-R,11.0937110453388,0.01,5,0,interior,TRUE,1.012
100,52,50,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,AIW-N,32.2424712144575,0.001,1,1,interior,TRUE,0.334
100,52,50,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,collapsed-R,28.9863440859571,0.001,5,1,interior,TRUE,1.91
100,52,50,2,0.001,0.001,200000,2000,25;61,0.00431847335806067,8.18699189696438,11.495936201256,0.001,AIW-N,20.6849454895623,0.001,1,1,interior,TRUE,0.248000000000001
100,52,50,2,0.001,0.001,200000,2000,25;61,0.00431847335806067,8.18699189696438,11.495936201256,0.001,collapsed-R,16.7557880998078,0.001,5,1,interior,TRUE,1.31
100,52,50,3,0.001,0.001,200000,2000,25;61;8,0.0434482192197275,4.96377085469974,10.9691127137826,0.001,AIW-N,19.44196168522,0.002,1,1,interior,TRUE,0.294000000000001
100,52,50,3,0.001,0.001,200000,2000,25;61;8,0.0434482192197275,4.96377085469974,10.9691127137826,0.001,collapsed-R,20.909305052231,0.004,5,1,interior,TRUE,1.184
100,52,100,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,AIW-N,43.5422894519323,0.001,1,1,interior,TRUE,0.238000000000001
100,52,100,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,collapsed-R,40.4834440791475,0.001,5,1,interior,TRUE,1.337
100,52,100,2,0.001,0.001,200000,2000,25;43,0.00769403337479173,8.27842062140731,11.5292938343529,0.001,AIW-N,13.9624940187385,1e-04,1,1,interior,TRUE,0.306000000000001
100,52,100,2,0.001,0.001,200000,2000,25;43,0.00769403337479173,8.27842062140731,11.5292938343529,0.001,collapsed-R,9.0467289056802,1e-04,5,0,interior,TRUE,1.095
100,52,100,3,0.001,0.001,200000,2000,25;43;8,0.0402072518142409,4.06408193238178,10.9131638561163,0.001,AIW-N,12.4664838556047,1e-04,1,1,interior,TRUE,0.321999999999999
100,52,100,3,0.001,0.001,200000,2000,25;43;8,0.0402072518142409,4.06408193238178,10.9131638561163,0.001,collapsed-R,8.27688168043539,1e-04,5,0,interior,TRUE,0.997
100,52,200,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,AIW-N,144.953697649333,0.002,1,1,interior,TRUE,0.207999999999998
100,52,200,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,collapsed-R,146.898556655901,0.002,5,1,interior,TRUE,0.852
100,52,200,2,0.001,0.001,200000,2000,25;86,0.0051621439143549,8.25921418693076,11.522263697162,0.001,AIW-N,106.391583759311,0.004,5,2,interior,TRUE,0.253
100,52,200,2,0.001,0.001,200000,2000,25;86,0.0051621439143549,8.25921418693076,11.522263697162,0.001,collapsed-R,162.950597728734,0.008,5,2,interior,TRUE,0.905999999999999
100,52,200,3,0.001,0.001,200000,2000,25;86;10,0.0442030241687705,5.32348857899709,10.8944136554371,0.001,AIW-N,92.2209152320492,0.004,2,2,interior,TRUE,0.257999999999999
100,52,200,3,0.001,0.001,200000,2000,25;86;10,0.0442030241687705,5.32348857899709,10.8944136554371,0.001,collapsed-R,86.9145427263919,0.004,5,2,interior,TRUE,0.866999999999997
100,52,500,1,0.001,0.001,200000,2000,25,0,14.142135623731,14.142135623731,0.001,AIW-N,398.233687438811,0.004,5,1,interior,TRUE,0.227
