J,panel_seed,true_eta0,true_L,true_lambda,h2,N,N0,causal,maximum_abs_causal_ld,minimum_expected_abs_z,maximum_expected_abs_z,achieved_h2,method,raw_eta0,selected_lambda,selected_model_L,raw_pure_L,eta0_boundary,converged,fit_seconds
1000,51,20,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,AIW-N,11.9622088899893,0.006,1,1,interior,TRUE,2.395
1000,51,20,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,collapsed-R,4.85174524398934,0.006,5,0,interior,TRUE,0.718
1000,51,20,2,0.001,0.001,200000,2000,249;367,0.00206371860163356,8.20421214295255,11.5021980349847,0.001,AIW-N,9.00987942075958,0.006,1,0,interior,TRUE,3.023
1000,51,20,2,0.001,0.001,200000,2000,249;367,0.00206371860163356,8.20421214295255,11.5021980349847,0.001,collapsed-R,4.4558749080273,0.006,5,0,interior,TRUE,0.541
1000,51,20,3,0.001,0.001,200000,2000,249;367;856,0.00355934043937113,4.67709804738348,10.8715467859242,0.001,AIW-N,9.79359583732842,0.008,1,1,interior,TRUE,2.95
1000,51,20,3,0.001,0.001,200000,2000,249;367;856,0.00355934043937113,4.67709804738348,10.8715467859242,0.001,collapsed-R,5.18017735810799,0.008,5,0,interior,TRUE,0.662999999999999
1000,51,50,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,AIW-N,31.7267090088279,0.01,1,1,interior,TRUE,2.418
1000,51,50,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,collapsed-R,17.1343065128041,0.01,5,0,interior,TRUE,0.564
1000,51,50,2,0.001,0.001,200000,2000,249;151,0.00134973263063647,8.23022959666212,11.5116772837227,0.001,AIW-N,26.5477873620277,0.01,1,1,interior,TRUE,3.096
1000,51,50,2,0.001,0.001,200000,2000,249;151,0.00134973263063647,8.23022959666212,11.5116772837227,0.001,collapsed-R,16.9466780939757,0.01,5,0,interior,TRUE,0.66
1000,51,50,3,0.001,0.001,200000,2000,249;151;741,0.0304189958525954,4.20816241489102,10.8545428116041,0.001,AIW-N,27.0155236290451,0.01,1,1,interior,TRUE,3.402
1000,51,50,3,0.001,0.001,200000,2000,249;151;741,0.0304189958525954,4.20816241489102,10.8545428116041,0.001,collapsed-R,19.6174305727889,0.01,5,0,interior,TRUE,0.655000000000001
1000,51,100,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,AIW-N,63.9960420297535,0.004,1,1,interior,TRUE,3.185
1000,51,100,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,collapsed-R,58.7199706929857,0.004,5,1,interior,TRUE,1.093
1000,51,100,2,0.001,0.001,200000,2000,249;704,0.000419085928081727,8.22314237693134,11.5090929125202,0.001,AIW-N,62.4907408057992,0.004,1,1,interior,TRUE,3.811
1000,51,100,2,0.001,0.001,200000,2000,249;704,0.000419085928081727,8.22314237693134,11.5090929125202,0.001,collapsed-R,60.3210350579295,0.004,5,1,interior,TRUE,0.774000000000001
1000,51,100,3,0.001,0.001,200000,2000,249;704;606,0.0037578650476648,4.70797673800038,10.865187324958,0.001,AIW-N,60.2726875877477,0.004,1,1,interior,TRUE,3.341
1000,51,100,3,0.001,0.001,200000,2000,249;704;606,0.0037578650476648,4.70797673800038,10.865187324958,0.001,collapsed-R,59.3774420172462,0.004,5,1,interior,TRUE,0.796999999999997
1000,51,200,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,AIW-N,198.160031710075,0.002,4,1,interior,TRUE,2.82
1000,51,200,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,collapsed-R,156.385023931988,0.002,5,1,interior,TRUE,1.047
1000,51,200,2,0.001,0.001,200000,2000,249;134,0.00166179779012938,8.23260504966556,11.5125438664718,0.001,AIW-N,205.169845942989,0.002,5,2,interior,TRUE,2.922
1000,51,200,2,0.001,0.001,200000,2000,249;134,0.00166179779012938,8.23260504966556,11.5125438664718,0.001,collapsed-R,163.974168472929,0.002,5,2,interior,TRUE,1.14100000000001
1000,51,200,3,0.001,0.001,200000,2000,249;134;633,0.00373649639059121,4.60316305817708,10.8683091454833,0.001,AIW-N,210.892063889046,0.002,5,2,interior,TRUE,3.031
1000,51,200,3,0.001,0.001,200000,2000,249;134;633,0.00373649639059121,4.60316305817708,10.8683091454833,0.001,collapsed-R,159.085818265593,0.002,5,2,interior,TRUE,0.957000000000001
1000,51,500,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,AIW-N,534.618067559258,0.002,5,1,interior,TRUE,2.978
1000,51,500,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,collapsed-R,469.829635668446,0.002,5,1,interior,TRUE,1.171
1000,51,500,2,0.001,0.001,200000,2000,249;90,0.000269431428189713,8.22200226893748,11.5086773232115,0.001,AIW-N,640.513587118561,0.002,5,2,interior,TRUE,2.823
1000,51,500,2,0.001,0.001,200000,2000,249;90,0.000269431428189713,8.22200226893748,11.5086773232115,0.001,collapsed-R,566.859698295095,0.002,5,2,interior,TRUE,1.21
1000,51,500,3,0.001,0.001,200000,2000,249;90;380,0.0114287897791573,4.54577747148934,10.8450277372074,0.001,AIW-N,794.584735236048,0.002,5,2,interior,TRUE,2.801
1000,51,500,3,0.001,0.001,200000,2000,249;90;380,0.0114287897791573,4.54577747148934,10.8450277372074,0.001,collapsed-R,632.8413651138,0.002,5,2,interior,TRUE,1.16399999999999
1000,51,1000,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,AIW-N,514.257734822225,0.001,1,1,interior,TRUE,2.645
1000,51,1000,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,collapsed-R,532.042335258706,0.001,5,1,interior,TRUE,0.957000000000008
1000,51,1000,2,0.001,0.001,200000,2000,249;347,9.6703761302826e-05,8.21921244635655,11.5076605638251,0.001,AIW-N,648.926881557627,0.001,5,2,interior,TRUE,2.56399999999999
1000,51,1000,2,0.001,0.001,200000,2000,249;347,9.6703761302826e-05,8.21921244635655,11.5076605638251,0.001,collapsed-R,554.807594687875,0.001,5,2,interior,TRUE,1.029
1000,51,1000,3,0.001,0.001,200000,2000,249;347;674,0.00987822716608655,4.54689967414306,10.8770975712604,0.001,AIW-N,665.403943374103,0.001,5,2,interior,TRUE,3.277
1000,51,1000,3,0.001,0.001,200000,2000,249;347;674,0.00987822716608655,4.54689967414306,10.8770975712604,0.001,collapsed-R,508.248138222675,0.001,5,2,interior,TRUE,0.938999999999993
1000,51,2000,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,AIW-N,940.299339980889,0.001,5,1,interior,TRUE,2.53099999999999
1000,51,2000,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,collapsed-R,998.990223801063,0.001,5,1,interior,TRUE,1.32599999999999
1000,51,2000,2,0.001,0.001,200000,2000,249;826,0.000418545891522892,8.22313826300448,11.5090914128453,0.001,AIW-N,1019.31842855826,0.001,5,2,interior,TRUE,3.01900000000001
1000,51,2000,2,0.001,0.001,200000,2000,249;826,0.000418545891522892,8.22313826300448,11.5090914128453,0.001,collapsed-R,1073.43443416152,0.001,5,2,interior,TRUE,1.226
1000,51,2000,3,0.001,0.001,200000,2000,249;826;465,0.00799926434067568,4.69142424168954,10.8946253477411,0.001,AIW-N,1024.00129373896,0.001,5,2,interior,TRUE,3.154
1000,51,2000,3,0.001,0.001,200000,2000,249;826;465,0.00799926434067568,4.69142424168954,10.8946253477411,0.001,collapsed-R,923.691962546454,0.001,5,2,interior,TRUE,1.149
1000,51,5000,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,AIW-N,Inf,0.001,5,1,normal_limit,TRUE,2.79700000000001
1000,51,5000,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,collapsed-R,27650.3387982149,0.001,5,1,interior,TRUE,1.48699999999999
1000,51,5000,2,0.001,0.001,200000,2000,249;680,0.00140164478944428,8.2092633914506,11.5040366790694,0.001,AIW-N,17842.8916975084,0.001,5,2,interior,TRUE,2.973
1000,51,5000,2,0.001,0.001,200000,2000,249;680,0.00140164478944428,8.2092633914506,11.5040366790694,0.001,collapsed-R,136692.738412406,0.001,5,2,interior,TRUE,1.405
1000,51,5000,3,0.001,0.001,200000,2000,249;680;444,0.00237740610418859,4.65181643170206,10.8527963605616,0.001,AIW-N,Inf,0.001,5,2,normal_limit,TRUE,3.05399999999999
1000,51,5000,3,0.001,0.001,200000,2000,249;680;444,0.00237740610418859,4.65181643170206,10.8527963605616,0.001,collapsed-R,16964.5089177013,0.001,5,2,interior,TRUE,0.966000000000008
