J,panel_seed,true_eta0,true_L,true_lambda,h2,N,N0,causal,maximum_abs_causal_ld,minimum_expected_abs_z,maximum_expected_abs_z,achieved_h2,method,raw_eta0,selected_lambda,selected_model_L,raw_pure_L,eta0_boundary,converged,fit_seconds
1000,52,20,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,AIW-N,22.9497796724751,0.006,1,1,interior,TRUE,2.602
1000,52,20,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,collapsed-R,14.3069411653336,0.006,5,0,interior,TRUE,0.642
1000,52,20,2,0.001,0.001,200000,2000,249;380,0.000134594395136313,8.22097494143624,11.508302880869,0.001,AIW-N,15.5606283925143,0.006,1,1,interior,TRUE,2.683
1000,52,20,2,0.001,0.001,200000,2000,249;380,0.000134594395136313,8.22097494143624,11.508302880869,0.001,collapsed-R,10.8052451269932,0.006,5,0,interior,TRUE,0.506
1000,52,20,3,0.001,0.001,200000,2000,249;380;714,0.0241173931929995,4.36621843025737,10.8904635657345,0.001,AIW-N,16.8180826092445,0.006,1,1,interior,TRUE,3.857
1000,52,20,3,0.001,0.001,200000,2000,249;380;714,0.0241173931929995,4.36621843025737,10.8904635657345,0.001,collapsed-R,13.355798619629,0.006,5,0,interior,TRUE,0.564
1000,52,50,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,AIW-N,32.4767993616961,0.004,1,1,interior,TRUE,3.834
1000,52,50,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,collapsed-R,34.4174324870729,0.006,5,1,interior,TRUE,0.919999999999998
1000,52,50,2,0.001,0.001,200000,2000,249;880,0.00118868661426253,8.2290035036567,11.5112300682987,0.001,AIW-N,24.4373820110073,0.004,1,1,interior,TRUE,3.129
1000,52,50,2,0.001,0.001,200000,2000,249;880,0.00118868661426253,8.2290035036567,11.5112300682987,0.001,collapsed-R,19.4067632165661,0.004,5,0,interior,TRUE,0.701000000000001
1000,52,50,3,0.001,0.001,200000,2000,249;880;542,0.00969142825586885,4.51040210397586,10.8739079662004,0.001,AIW-N,20.4310261896901,0.004,1,1,interior,TRUE,3.516
1000,52,50,3,0.001,0.001,200000,2000,249;880;542,0.00969142825586885,4.51040210397586,10.8739079662004,0.001,collapsed-R,15.4464798078083,0.004,5,0,interior,TRUE,0.597999999999999
1000,52,100,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,AIW-N,178.775792232759,0.006,1,1,interior,TRUE,2.648
1000,52,100,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,collapsed-R,179.807605336205,0.006,5,1,interior,TRUE,1.058
1000,52,100,2,0.001,0.001,200000,2000,249;471,0.00057045281652837,8.22429540812862,11.5095132559044,0.001,AIW-N,106.046597191429,0.004,2,2,interior,TRUE,3.054
1000,52,100,2,0.001,0.001,200000,2000,249;471,0.00057045281652837,8.22429540812862,11.5095132559044,0.001,collapsed-R,56.4047917623774,0.004,5,0,interior,TRUE,0.799
1000,52,100,3,0.001,0.001,200000,2000,249;471;900,0.00807669767676241,4.57194969000609,10.8783546182384,0.001,AIW-N,40.5207822188806,0.004,1,1,interior,TRUE,3.232
1000,52,100,3,0.001,0.001,200000,2000,249;471;900,0.00807669767676241,4.57194969000609,10.8783546182384,0.001,collapsed-R,38.0899780724706,0.004,5,0,interior,TRUE,0.613999999999997
1000,52,200,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,AIW-N,231.536219153714,0.002,5,1,interior,TRUE,3.079
1000,52,200,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,collapsed-R,172.29380395682,0.002,5,1,interior,TRUE,1.374
1000,52,200,2,0.001,0.001,200000,2000,249;104,0.00110452865153437,8.22836272784933,11.5109963659657,0.001,AIW-N,196.882651240961,0.002,2,2,interior,TRUE,2.79000000000001
1000,52,200,2,0.001,0.001,200000,2000,249;104,0.00110452865153437,8.22836272784933,11.5109963659657,0.001,collapsed-R,196.947450535797,0.002,5,2,interior,TRUE,1.376
1000,52,200,3,0.001,0.001,200000,2000,249;104;414,0.0085851649093118,4.79477172677096,10.8697861445269,0.001,AIW-N,185.674865121964,0.002,2,2,interior,TRUE,2.934
1000,52,200,3,0.001,0.001,200000,2000,249;104;414,0.0085851649093118,4.79477172677096,10.8697861445269,0.001,collapsed-R,186.939320815423,0.002,5,2,interior,TRUE,1.19
1000,52,500,1,0.001,0.001,200000,2000,249,0,14.142135623731,14.142135623731,0.001,AIW-N,415.07517553565,0.002,4,2,interior,TRUE,3.014
